Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Floral Dreamscape,4,Backpiece,,0,13,107,52,15,15,0,0,0,,
Floral Dreamscape,4,Backpiece,,1,0,134,65,19,19,0,0,0,,
Floral Dreamscape,4,Backpiece,,2,21,166,81,24,24,0,0,0,,
Floral Dreamscape,4,Backpiece,,3,25,204,99,29,29,0,0,0,,
Floral Dreamscape,4,Backpiece,,4,30,247,120,35,35,0,0,0,,
Floral Dreamscape,4,Backpiece,,5,36,295,143,42,42,0,0,0,,
Fishing Bliss,4,Backpiece,,0,14,15,43,9,84,0,0,0,,
Fishing Bliss,4,Backpiece,,1,18,19,54,12,105,0,0,0,,
Fishing Bliss,4,Backpiece,,2,22,24,67,14,131,0,0,0,,
Fishing Bliss,4,Backpiece,,3,27,29,82,18,160,0,0,0,,
Fishing Bliss,4,Backpiece,,4,33,35,99,21,194,0,0,0,,
Fishing Bliss,4,Backpiece,,5,39,42,19,25,231,0,0,0,,
Golden Daylight,4,Backpiece,,0,0,13,83,15,42,0,0,0,,
Golden Daylight,4,Backpiece,,1,14,0,104,19,53,0,0,0,,
Golden Daylight,4,Backpiece,,2,18,21,129,24,66,0,0,0,,
Golden Daylight,4,Backpiece,,3,21,25,158,29,80,0,0,0,,
Golden Daylight,4,Backpiece,,4,26,30,191,35,97,0,0,0,,
Golden Daylight,4,Backpiece,,5,31,36,229,42,116,0,0,0,,
Loaded with Hope,3,Backpiece,,0,0,38,78,14,10,0,0,0,,
Loaded with Hope,3,Backpiece,,1,14,48,98,18,13,0,0,0,,
Loaded with Hope,3,Backpiece,,2,18,59,121,22,16,0,0,0,,
Loaded with Hope,3,Backpiece,,3,21,73,149,27,19,0,0,0,,
Loaded with Hope,3,Backpiece,,4,26,88,180,33,23,0,0,0,,
Loaded with Hope,3,Backpiece,,5,31,105,215,39,28,0,0,0,,
