Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Verdant Dance,4,Bottom,,0,181,62,38,351,43,0,0,0,,
Verdant Dance,4,Bottom,,1,227,78,48,439,54,0,0,0,,
Verdant Dance,4,Bottom,,2,281,0,59,545,67,0,0,0,,
Verdant Dance,4,Bottom,,3,344,118,73,667,82,0,0,0,,
Verdant Dance,4,Bottom,,4,417,143,88,808,99,0,0,0,,
Verdant Dance,4,Bottom,,5,498,171,105,966,119,0,0,0,,
Stained Palette,4,Bottom,,0,51,337,174,51,61,0,0,0,,
Stained Palette,4,Bottom,,1,64,422,218,64,77,0,0,0,,
Stained Palette,4,Bottom,,2,80,523,270,80,95,0,0,0,,
Stained Palette,4,Bottom,,3,0,641,331,0,116,0,0,0,,
Stained Palette,4,Bottom,,4,118,776,401,118,141,0,0,0,,
Stained Palette,4,Bottom,,5,141,927,479,141,168,0,0,0,,
Refreshing Droplet,4,Bottom,,0,145,49,287,27,41,0,0,0,,
Refreshing Droplet,4,Bottom,,1,182,62,359,34,52,0,0,0,,
Refreshing Droplet,4,Bottom,,2,225,76,445,42,64,0,0,0,,
Refreshing Droplet,4,Bottom,,3,276,94,546,52,78,0,0,0,,
Refreshing Droplet,4,Bottom,,4,334,113,661,63,95,0,0,0,,
Refreshing Droplet,4,Bottom,,5,399,135,790,75,113,0,0,0,,
Riding the Breeze,4,Bottom,,0,59,170,44,53,349,0,0,0,,
Riding the Breeze,4,Bottom,,1,74,213,55,67,437,0,0,0,,
Riding the Breeze,4,Bottom,,2,92,264,69,83,0,0,0,0,,
Riding the Breeze,4,Bottom,,3,13,323,84,101,664,0,0,0,,
Riding the Breeze,4,Bottom,,4,136,391,102,122,803,0,0,0,,
Riding the Breeze,4,Bottom,,5,163,468,121,146,960,0,0,0,,
Sunny Agenda,4,Bottom,,0,52,32,351,61,178,0,0,0,,
Sunny Agenda,4,Bottom,,1,65,40,439,77,223,0,0,0,,
Sunny Agenda,4,Bottom,,2,81,50,545,95,276,0,0,0,,
Sunny Agenda,4,Bottom,,3,99,61,667,116,339,0,0,0,,
Sunny Agenda,4,Bottom,,4,120,74,808,141,410,0,0,0,,
Sunny Agenda,4,Bottom,,5,143,88,966,168,490,0,0,0,,
Babbling Brook,4,Bottom,,0,50,63,0,49,336,0,0,0,,
Babbling Brook,4,Bottom,,1,63,79,222,62,420,0,0,0,,
Babbling Brook,4,Bottom,,2,78,98,275,76,521,0,0,0,,
Babbling Brook,4,Bottom,,3,95,120,337,94,639,0,0,0,,
Babbling Brook,4,Bottom,,4,0,145,408,113,773,0,0,0,,
Babbling Brook,4,Bottom,,5,138,174,487,135,924,0,0,0,,
Immersive Study,3,Bottom,,0,256,46,133,38,27,0,0,0,,
Immersive Study,3,Bottom,,1,320,58,167,48,34,0,0,0,,
Immersive Study,3,Bottom,,2,397,72,207,59,42,0,0,0,,
Immersive Study,3,Bottom,,3,487,88,253,73,52,0,0,0,,
Immersive Study,3,Bottom,,4,589,106,306,88,63,0,0,0,,
Immersive Study,3,Bottom,,5,704,127,366,105,0,0,0,0,,
Bouncy Blue,3,Bottom,,0,25,136,43,35,261,0,0,0,,
Bouncy Blue,3,Bottom,,1,32,170,54,44,327,0,0,0,,
Bouncy Blue,3,Bottom,,2,39,211,67,55,405,0,0,0,,
Bouncy Blue,3,Bottom,,3,48,259,82,67,496,0,0,0,,
Bouncy Blue,3,Bottom,,4,58,313,99,81,601,0,0,0,,
Bouncy Blue,3,Bottom,,5,69,374,19,0,718,0,0,0,,
Unruly Plaid,3,Bottom,,0,28,39,39,127,267,0,0,0,,
Unruly Plaid,3,Bottom,,1,35,49,49,159,334,0,0,0,,
Unruly Plaid,3,Bottom,,2,44,61,61,197,414,0,0,0,,
Unruly Plaid,3,Bottom,,3,54,75,75,242,508,0,0,0,,
Unruly Plaid,3,Bottom,,4,65,90,90,293,615,0,0,0,,
Unruly Plaid,3,Bottom,,5,77,108,108,350,735,0,0,0,,
Deeply Engraved,3,Bottom,,0,33,32,48,131,256,0,0,0,,
Deeply Engraved,3,Bottom,,1,42,40,60,164,320,0,0,0,,
Deeply Engraved,3,Bottom,,2,52,50,75,204,397,0,0,0,,
Deeply Engraved,3,Bottom,,3,63,61,92,249,487,0,0,0,,
Deeply Engraved,3,Bottom,,4,76,74,0,302,589,0,0,0,,
Deeply Engraved,3,Bottom,,5,91,88,132,361,704,0,0,0,,
Free Will,3,Bottom,,0,34,26,42,132,266,0,0,0,,
Free Will,3,Bottom,,1,43,33,53,165,333,0,0,0,,
Free Will,3,Bottom,,2,53,41,66,205,413,0,0,0,,
Free Will,3,Bottom,,3,65,50,80,251,506,0,0,0,,
Free Will,3,Bottom,,4,79,60,0,304,612,0,0,0,,
Free Will,3,Bottom,,5,94,72,116,363,732,0,0,0,,
Pink Branches,3,Bottom,,0,24,35,257,49,136,0,0,0,,
Pink Branches,3,Bottom,,1,30,44,322,62,170,0,0,0,,
Pink Branches,3,Bottom,,2,38,55,399,76,211,0,0,0,,
Pink Branches,3,Bottom,,3,46,67,489,94,259,0,0,0,,
Pink Branches,3,Bottom,,4,56,81,592,113,313,0,0,0,,
Pink Branches,3,Bottom,,5,66,0,707,135,374,0,0,0,,
Azure Viola,3,Bottom,,0,29,35,263,43,130,0,0,0,,
Azure Viola,3,Bottom,,1,37,44,329,54,163,0,0,0,,
Azure Viola,3,Bottom,,2,45,55,408,67,202,0,0,0,,
Azure Viola,3,Bottom,,3,56,67,500,82,247,0,0,0,,
Azure Viola,3,Bottom,,4,67,81,605,99,299,0,0,0,,
Azure Viola,3,Bottom,,5,80,0,724,19,358,0,0,0,,
Plain Flowers,3,Bottom,,0,48,47,252,31,122,0,0,0,,
Plain Flowers,3,Bottom,,1,60,59,315,39,153,0,0,0,,
Plain Flowers,3,Bottom,,2,75,73,391,49,190,0,0,0,,
Plain Flowers,3,Bottom,,3,92,90,479,59,232,0,0,0,,
Plain Flowers,3,Bottom,,4,0,109,580,72,281,0,0,0,,
