Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Style
Floral Dreamscape,4,Backpiece,Flowing Colors,0,13,107,52,15,15,0,0,0,Fresh
Floral Dreamscape,4,Backpiece,Flowing Colors,1,0,134,65,19,19,410,5,12,Fresh
Floral Dreamscape,4,Backpiece,Flowing Colors,2,21,166,81,24,24,1220,16,36,Fresh
Floral Dreamscape,4,Backpiece,Flowing Colors,3,25,204,99,29,29,2440,32,72,Fresh
Floral Dreamscape,4,Backpiece,Flowing Colors,4,30,247,120,35,35,3980,53,120,Fresh
Floral Dreamscape,4,Backpiece,Flowing Colors,5,36,295,143,42,42,5800,77,177,Fresh
Fishing Bliss,4,Backpiece,Rippling Serenity,0,14,15,43,9,84,0,0,0,Cool
Fishing Bliss,4,Backpiece,Rippling Serenity,1,18,19,54,12,105,410,5,12,Cool
Fishing Bliss,4,Backpiece,Rippling Serenity,2,22,24,67,14,131,1220,16,36,Cool
Fishing Bliss,4,Backpiece,Rippling Serenity,3,27,29,82,18,160,2440,32,72,Cool
Fishing Bliss,4,Backpiece,Rippling Serenity,4,33,35,99,21,194,3980,53,120,Cool
Fishing Bliss,4,Backpiece,Rippling Serenity,5,39,42,19,25,231,5800,77,177,Cool
Golden Daylight,4,Backpiece,Afternoon Shine,0,0,13,83,15,42,0,0,0,Sweet
Golden Daylight,4,Backpiece,Afternoon Shine,1,14,0,104,19,53,410,5,12,Sweet
Golden Daylight,4,Backpiece,Afternoon Shine,2,18,21,129,24,66,1220,16,36,Sweet
Golden Daylight,4,Backpiece,Afternoon Shine,3,21,25,158,29,80,2440,32,72,Sweet
Golden Daylight,4,Backpiece,Afternoon Shine,4,26,30,191,35,97,3980,53,120,Sweet
Golden Daylight,4,Backpiece,Afternoon Shine,5,31,36,229,42,116,5800,77,177,Sweet
Loaded with Hope,3,Backpiece,,0,0,38,78,14,10,0,0,0,Sweet
Loaded with Hope,3,Backpiece,,1,14,48,98,18,13,140,2,6,Sweet
Loaded with Hope,3,Backpiece,,2,18,59,121,22,16,410,6,18,Sweet
Loaded with Hope,3,Backpiece,,3,21,73,149,27,19,820,11,36,Sweet
Loaded with Hope,3,Backpiece,,4,26,88,180,33,23,1330,18,60,Sweet
Loaded with Hope,3,Backpiece,,5,31,105,215,39,28,1940,26,88,Sweet
Verdant Dance,4,Bottom,,0,181,62,38,351,43,0,0,0,Sexy
Verdant Dance,4,Bottom,,1,227,78,48,439,54,1350,18,40,Sexy
Verdant Dance,4,Bottom,,2,281,0,59,545,67,4050,54,120,Sexy
Verdant Dance,4,Bottom,,3,344,118,73,667,82,8100,108,240,Sexy
Verdant Dance,4,Bottom,,4,417,143,88,808,99,13230,176,400,Sexy
Verdant Dance,4,Bottom,,5,498,171,105,966,119,19310,257,592,Sexy
Stained Palette,4,Bottom,Flowing Colors,0,51,337,174,51,61,0,0,0,Fresh
Stained Palette,4,Bottom,Flowing Colors,1,64,422,218,64,77,1350,18,40,Fresh
Stained Palette,4,Bottom,Flowing Colors,2,80,523,270,80,95,4050,54,120,Fresh
Stained Palette,4,Bottom,Flowing Colors,3,0,641,331,0,116,8100,108,240,Fresh
Stained Palette,4,Bottom,Flowing Colors,4,118,776,401,118,141,13230,176,400,Fresh
Stained Palette,4,Bottom,Flowing Colors,5,141,927,479,141,168,19310,257,592,Fresh
Refreshing Droplet,4,Bottom,,0,145,49,287,27,41,0,0,0,Sweet
Refreshing Droplet,4,Bottom,,1,182,62,359,34,52,1350,18,40,Sweet
Refreshing Droplet,4,Bottom,,2,225,76,445,42,64,4050,54,120,Sweet
Refreshing Droplet,4,Bottom,,3,276,94,546,52,78,8100,108,240,Sweet
Refreshing Droplet,4,Bottom,,4,334,113,661,63,95,13230,176,400,Sweet
Refreshing Droplet,4,Bottom,,5,399,135,790,75,113,19310,257,592,Sweet
