Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Fluttering Wishes,5,Dress,,0,831,441,154,0,160,0,0,0,,
Fluttering Wishes,5,Dress,,1,1039,552,193,144,200,0,0,0,,
Fluttering Wishes,5,Dress,,2,1289,684,239,179,248,0,0,0,,
Fluttering Wishes,5,Dress,,3,1579,838,293,219,304,0,0,0,,
Fluttering Wishes,5,Dress,,4,1912,0,355,265,368,0,0,0,,
Fluttering Wishes,5,Dress,,5,2286,1213,424,317,440,0,0,0,,
Starry Vigil,3,Dress,,0,285,51,553,52,59,0,0,0,,
Starry Vigil,3,Dress,,1,357,64,692,65,74,0,0,0,,
Starry Vigil,3,Dress,,2,442,80,858,81,92,0,0,0,,
Starry Vigil,3,Dress,,3,542,0,1051,99,113,0,0,0,,
Starry Vigil,3,Dress,,4,656,118,1272,120,136,0,0,0,,
Starry Vigil,3,Dress,,5,784,141,1521,143,163,0,0,0,,
Confession Lace,3,Dress,,0,502,76,260,90,71,0,0,0,,
Confession Lace,3,Dress,,1,628,95,325,113,89,0,0,0,,
Confession Lace,3,Dress,,2,779,118,403,140,0,0,0,0,,
Confession Lace,3,Dress,,3,954,145,494,171,135,0,0,0,,
Confession Lace,3,Dress,,4,0,175,598,207,164,0,0,0,,
Confession Lace,3,Dress,,5,1381,209,715,248,196,0,0,0,,
Spring Qipao,3,Dress,,0,83,499,95,247,76,0,0,0,,
Spring Qipao,3,Dress,,1,104,624,19,309,95,0,0,0,,
Spring Qipao,3,Dress,,2,129,774,148,383,118,0,0,0,,
Spring Qipao,3,Dress,,3,158,949,181,470,145,0,0,0,,
Spring Qipao,3,Dress,,4,191,1148,219,569,175,0,0,0,,
Spring Qipao,3,Dress,,5,229,1373,262,680,209,0,0,0,,
Fragrant Reverie,3,Dress,,0,273,533,94,51,49,0,0,0,,
Fragrant Reverie,3,Dress,,1,342,667,118,64,62,0,0,0,,
Fragrant Reverie,3,Dress,,2,424,827,146,80,76,0,0,0,,
Fragrant Reverie,3,Dress,,3,519,1013,179,0,94,0,0,0,,
Fragrant Reverie,3,Dress,,4,628,1226,217,118,113,0,0,0,,
Fragrant Reverie,3,Dress,,5,751,1466,259,141,135,0,0,0,,
Mature Aftertaste,3,Dress,,0,531,55,81,282,52,0,0,0,,
Mature Aftertaste,3,Dress,,1,664,69,102,353,65,0,0,0,,
Mature Aftertaste,3,Dress,,2,824,86,126,438,81,0,0,0,,
Mature Aftertaste,3,Dress,,3,1009,105,154,536,99,0,0,0,,
Mature Aftertaste,3,Dress,,4,1222,127,187,649,120,0,0,0,,
Mature Aftertaste,3,Dress,,5,1461,152,223,776,143,0,0,0,,
Natural Color,3,Dress,,0,263,521,59,71,86,0,0,0,,
Natural Color,3,Dress,,1,329,652,74,89,108,0,0,0,,
Natural Color,3,Dress,,2,408,808,92,0,134,0,0,0,,
Natural Color,3,Dress,,3,500,990,113,135,164,0,0,0,,
Natural Color,3,Dress,,4,605,1199,136,164,198,0,0,0,,
Natural Color,3,Dress,,5,724,1433,163,196,237,0,0,0,,
Dreamlike Stars,3,Dress,,0,60,50,286,0,53,0,0,0,,
Dreamlike Stars,3,Dress,,1,75,63,358,689,67,0,0,0,,
Dreamlike Stars,3,Dress,,2,93,78,444,855,83,0,0,0,,
Dreamlike Stars,3,Dress,,3,4,95,544,1047,101,0,0,0,,
Dreamlike Stars,3,Dress,,4,138,0,658,1268,122,0,0,0,,
Dreamlike Stars,3,Dress,,5,165,138,787,1516,146,0,0,0,,
Blooming Grace,5,Dress,,0,915,86,146,452,101,0,0,0,,
Blooming Grace,5,Dress,,1,1144,108,183,565,127,0,0,0,,
Blooming Grace,5,Dress,,2,1419,134,227,701,157,0,0,0,,
Blooming Grace,5,Dress,,3,1739,164,278,859,192,0,0,0,,
Blooming Grace,5,Dress,,4,2105,198,336,1040,233,0,0,0,,
Blooming Grace,5,Dress,,5,2517,237,402,1243,278,0,0,0,,
Starry Splendor,5,Dress,,0,436,890,19,164,91,0,0,0,,
Starry Splendor,5,Dress,,1,545,0,149,205,4,0,0,0,,
Starry Splendor,5,Dress,,2,676,1380,185,255,142,0,0,0,,
Starry Splendor,5,Dress,,3,829,1691,227,312,173,0,0,0,,
Starry Splendor,5,Dress,,4,1003,2047,274,378,210,0,0,0,,
Starry Splendor,5,Dress,,5,1199,2448,328,451,251,0,0,0,,
Fluttering Twist,5,Dress,,0,457,98,95,913,137,0,0,0,,
Fluttering Twist,5,Dress,,1,572,123,19,1142,172,0,0,0,,
Fluttering Twist,5,Dress,,2,709,152,148,1416,213,0,0,0,,
Fluttering Twist,5,Dress,,3,869,187,181,1735,261,0,0,0,,
Fluttering Twist,5,Dress,,4,1052,226,219,2100,316,0,0,0,,
Fluttering Twist,5,Dress,,5,1257,270,262,2511,377,0,0,0,,
Peachy Fellowship,3,Dress,,0,56,255,522,93,74,0,0,0,,
Peachy Fellowship,3,Dress,,1,70,319,653,0,93,0,0,0,,
Peachy Fellowship,3,Dress,,2,87,396,810,145,0,0,0,0,,
Peachy Fellowship,3,Dress,,3,107,485,992,0,141,0,0,0,,
Peachy Fellowship,3,Dress,,4,129,587,1201,214,171,0,0,0,,
Peachy Fellowship,3,Dress,,5,154,702,1436,256,204,0,0,0,,
Snownight Letter,3,Dress,,0,261,87,85,503,65,0,0,0,,
Snownight Letter,3,Dress,,1,327,109,107,629,82,0,0,0,,
Snownight Letter,3,Dress,,2,405,135,132,780,101,0,0,0,,
Snownight Letter,3,Dress,,3,496,166,162,956,124,0,0,0,,
Snownight Letter,3,Dress,,4,601,201,196,1157,150,0,0,0,,
Snownight Letter,3,Dress,,5,718,240,234,1384,179,0,0,0,,
