Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source,Style
Floral Dreamscape,4,Backpiece,,0,13,107,52,15,15,0,0,0,,,Fresh
Floral Dreamscape,4,Backpiece,,1,0,134,65,19,19,0,0,0,,,Fresh
Floral Dreamscape,4,Backpiece,,2,21,166,81,24,24,0,0,0,,,Fresh
Floral Dreamscape,4,Backpiece,,3,25,204,99,29,29,0,0,0,,,Fresh
Floral Dreamscape,4,Backpiece,,4,30,247,120,35,35,0,0,0,,,Fresh
Floral Dreamscape,4,Backpiece,,5,36,295,143,42,42,0,0,0,,,Fresh
Fishing Bliss,4,Backpiece,,0,14,15,43,9,84,0,0,0,,,Cool
Fishing Bliss,4,Backpiece,,1,18,19,54,12,105,0,0,0,,,Cool
Fishing Bliss,4,Backpiece,,2,22,24,67,14,131,0,0,0,,,Cool
Fishing Bliss,4,Backpiece,,3,27,29,82,18,160,0,0,0,,,Cool
Fishing Bliss,4,Backpiece,,4,33,35,99,21,194,0,0,0,,,Cool
Fishing Bliss,4,Backpiece,,5,39,42,19,25,231,0,0,0,,,Cool
Golden Daylight,4,Backpiece,,0,0,13,83,15,42,0,0,0,,,Sweet
Golden Daylight,4,Backpiece,,1,14,0,104,19,53,0,0,0,,,Sweet
Golden Daylight,4,Backpiece,,2,18,21,129,24,66,0,0,0,,,Sweet
Golden Daylight,4,Backpiece,,3,21,25,158,29,80,0,0,0,,,Sweet
Golden Daylight,4,Backpiece,,4,26,30,191,35,97,0,0,0,,,Sweet
Golden Daylight,4,Backpiece,,5,31,36,229,42,116,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,0,0,38,78,14,10,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,1,14,48,98,18,13,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,2,18,59,121,22,16,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,3,21,73,149,27,19,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,4,26,88,180,33,23,0,0,0,,,Sweet
Loaded with Hope,3,Backpiece,,5,31,105,215,39,28,0,0,0,,,Sweet
Verdant Dance,4,Bottom,,0,181,62,38,351,43,0,0,0,,,Sexy
Verdant Dance,4,Bottom,,1,227,78,48,439,54,0,0,0,,,Sexy
Verdant Dance,4,Bottom,,2,281,0,59,545,67,0,0,0,,,Sexy
Verdant Dance,4,Bottom,,3,344,118,73,667,82,0,0,0,,,Sexy
Verdant Dance,4,Bottom,,4,417,143,88,808,99,0,0,0,,,Sexy
Verdant Dance,4,Bottom,,5,498,171,105,966,119,0,0,0,,,Sexy
Stained Palette,4,Bottom,,0,51,337,174,51,61,0,0,0,,,Fresh
Stained Palette,4,Bottom,,1,64,422,218,64,77,0,0,0,,,Fresh
Stained Palette,4,Bottom,,2,80,523,270,80,95,0,0,0,,,Fresh
Stained Palette,4,Bottom,,3,0,641,331,0,116,0,0,0,,,Fresh
Stained Palette,4,Bottom,,4,118,776,401,118,141,0,0,0,,,Fresh
Stained Palette,4,Bottom,,5,141,927,479,141,168,0,0,0,,,Fresh
Refreshing Droplet,4,Bottom,,0,145,49,287,27,41,0,0,0,,,Sweet
Refreshing Droplet,4,Bottom,,1,182,62,359,34,52,0,0,0,,,Sweet
Refreshing Droplet,4,Bottom,,2,225,76,445,42,64,0,0,0,,,Sweet
Refreshing Droplet,4,Bottom,,3,276,94,546,52,78,0,0,0,,,Sweet
Refreshing Droplet,4,Bottom,,4,334,113,661,63,95,0,0,0,,,Sweet
Refreshing Droplet,4,Bottom,,5,399,135,790,75,113,0,0,0,,,Sweet
Riding the Breeze,4,Bottom,,0,59,170,44,53,349,0,0,0,,,Cool
Riding the Breeze,4,Bottom,,1,74,213,55,67,437,0,0,0,,,Cool
Riding the Breeze,4,Bottom,,2,92,264,69,83,0,0,0,0,,,Fresh
Riding the Breeze,4,Bottom,,3,13,323,84,101,664,0,0,0,,,Cool
Riding the Breeze,4,Bottom,,4,136,391,102,122,803,0,0,0,,,Cool
Riding the Breeze,4,Bottom,,5,163,468,121,146,960,0,0,0,,,Cool
Sunny Agenda,4,Bottom,,0,52,32,351,61,178,0,0,0,,,Sweet
Sunny Agenda,4,Bottom,,1,65,40,439,77,223,0,0,0,,,Sweet
Sunny Agenda,4,Bottom,,2,81,50,545,95,276,0,0,0,,,Sweet
Sunny Agenda,4,Bottom,,3,99,61,667,116,339,0,0,0,,,Sweet
Sunny Agenda,4,Bottom,,4,120,74,808,141,410,0,0,0,,,Sweet
Sunny Agenda,4,Bottom,,5,143,88,966,168,490,0,0,0,,,Sweet
Babbling Brook,4,Bottom,,0,50,63,0,49,336,0,0,0,,,Cool
Babbling Brook,4,Bottom,,1,63,79,222,62,420,0,0,0,,,Cool
Babbling Brook,4,Bottom,,2,78,98,275,76,521,0,0,0,,,Cool
Babbling Brook,4,Bottom,,3,95,120,337,94,639,0,0,0,,,Cool
Babbling Brook,4,Bottom,,4,0,145,408,113,773,0,0,0,,,Cool
Babbling Brook,4,Bottom,,5,138,174,487,135,924,0,0,0,,,Cool
Immersive Study,3,Bottom,,0,256,46,133,38,27,0,0,0,,,Elegant
