Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Floral Love,3,Outerwear,,0,22,137,66,13,12,0,0,0,,
Floral Love,3,Outerwear,,1,28,172,83,0,15,0,0,0,,
Floral Love,3,Outerwear,,2,35,213,103,21,19,0,0,0,,
Floral Love,3,Outerwear,,3,42,261,126,25,23,0,0,0,,
Floral Love,3,Outerwear,,4,51,316,152,30,28,0,0,0,,
Floral Love,3,Outerwear,,5,61,377,182,36,33,0,0,0,,
Red Checkered Vest,3,Outerwear,,0,132,16,13,21,69,0,0,0,,
Red Checkered Vest,3,Outerwear,,1,165,20,0,27,87,0,0,0,,
Red Checkered Vest,3,Outerwear,,2,205,25,21,33,107,0,0,0,,
Red Checkered Vest,3,Outerwear,,3,251,31,25,40,132,0,0,0,,
Red Checkered Vest,3,Outerwear,,4,304,37,30,49,159,0,0,0,,
Red Checkered Vest,3,Outerwear,,5,363,44,36,58,190,0,0,0,,
First Day Jogging,3,Outerwear,,0,15,22,131,21,61,0,0,0,,
First Day Jogging,3,Outerwear,,1,19,28,164,27,77,0,0,0,,
First Day Jogging,3,Outerwear,,2,24,35,204,33,95,0,0,0,,
First Day Jogging,3,Outerwear,,3,29,42,249,40,116,0,0,0,,
First Day Jogging,3,Outerwear,,4,35,51,302,49,141,0,0,0,,
First Day Jogging,3,Outerwear,,5,42,61,361,58,168,0,0,0,,
Gentle Starshine,3,Outerwear,,0,0,21,65,126,20,0,0,0,,
Gentle Starshine,3,Outerwear,,1,22,27,82,158,25,0,0,0,,
Gentle Starshine,3,Outerwear,,2,27,33,101,196,31,0,0,0,,
Gentle Starshine,3,Outerwear,,3,33,40,124,240,38,0,0,0,,
Gentle Starshine,3,Outerwear,,4,40,49,150,290,46,0,0,0,,
Gentle Starshine,3,Outerwear,,5,47,58,179,347,55,0,0,0,,
Work-Life Balance,3,Outerwear,,0,30,18,0,25,160,0,0,0,,
Work-Life Balance,3,Outerwear,,1,38,23,22,32,200,0,0,0,,
Work-Life Balance,3,Outerwear,,2,47,28,27,39,248,0,0,0,,
Work-Life Balance,3,Outerwear,,3,57,35,33,48,304,0,0,0,,
Work-Life Balance,3,Outerwear,,4,69,42,40,58,368,0,0,0,,
Work-Life Balance,3,Outerwear,,5,83,50,47,69,440,0,0,0,,
Midsummer Shade,3,Outerwear,,0,18,65,128,19,21,0,0,0,,
Midsummer Shade,3,Outerwear,,1,23,82,160,24,27,0,0,0,,
Midsummer Shade,3,Outerwear,,2,28,101,199,30,33,0,0,0,,
Midsummer Shade,3,Outerwear,,3,35,124,244,37,40,0,0,0,,
Midsummer Shade,3,Outerwear,,4,42,150,295,44,49,0,0,0,,
Midsummer Shade,3,Outerwear,,5,50,179,352,53,58,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,0,23,66,132,15,13,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,1,29,83,165,19,0,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,2,36,103,205,24,21,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,3,44,126,251,29,25,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,4,53,152,304,35,30,0,0,0,,
Sky Monarch Catcher,3,Outerwear,,5,64,182,363,42,36,0,0,0,,
Handsome Silhouette,3,Outerwear,,0,134,20,13,64,20,0,0,0,,
Handsome Silhouette,3,Outerwear,,1,168,25,0,80,25,0,0,0,,
Handsome Silhouette,3,Outerwear,,2,208,31,21,100,31,0,0,0,,
Handsome Silhouette,3,Outerwear,,3,255,38,25,122,38,0,0,0,,
Handsome Silhouette,3,Outerwear,,4,309,46,30,148,46,0,0,0,,
Handsome Silhouette,3,Outerwear,,5,369,55,36,176,55,0,0,0,,
Golden Elegance,3,Outerwear,,0,158,15,27,27,23,0,0,0,,
Golden Elegance,3,Outerwear,,1,198,19,34,34,29,0,0,0,,
Golden Elegance,3,Outerwear,,2,245,24,42,42,36,0,0,0,,
Golden Elegance,3,Outerwear,,3,301,29,52,52,44,0,0,0,,
Golden Elegance,3,Outerwear,,4,364,35,63,63,53,0,0,0,,
Golden Elegance,3,Outerwear,,5,435,42,75,75,64,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,0,124,21,62,22,21,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,1,155,27,78,28,27,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,2,193,33,0,35,33,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,3,236,40,118,42,40,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,4,286,49,143,51,49,0,0,0,,
Rich Hot Chocolate,3,Outerwear,,5,341,58,171,61,58,0,0,0,,
Woolfruit Growth,2,Outerwear,,0,13,77,0,10,39,0,0,0,,
Woolfruit Growth,2,Outerwear,,1,0,0,14,13,49,0,0,0,,
Woolfruit Growth,2,Outerwear,,2,21,120,18,16,61,0,0,0,,
Woolfruit Growth,2,Outerwear,,3,25,147,21,19,75,0,0,0,,
Woolfruit Growth,2,Outerwear,,4,30,178,26,23,90,0,0,0,,
Woolfruit Growth,2,Outerwear,,5,36,212,31,28,108,0,0,0,,
Through the Storm,4,Outerwear,,0,90,19,188,19,21,0,0,0,,
Through the Storm,4,Outerwear,,1,13,24,235,24,27,0,0,0,,
Through the Storm,4,Outerwear,,2,140,30,292,30,33,0,0,0,,
Through the Storm,4,Outerwear,,3,171,37,358,37,40,0,0,0,,
Through the Storm,4,Outerwear,,4,207,44,433,44,49,0,0,0,,
Through the Storm,4,Outerwear,,5,248,53,517,53,58,0,0,0,,
Imaginative Painting,4,Outerwear,,0,33,174,88,22,22,0,0,0,,
Imaginative Painting,4,Outerwear,,1,42,218,110,28,28,0,0,0,,
Imaginative Painting,4,Outerwear,,2,52,270,137,35,35,0,0,0,,
Imaginative Painting,4,Outerwear,,3,63,331,168,42,42,0,0,0,,
Imaginative Painting,4,Outerwear,,4,76,401,203,51,51,0,0,0,,
Imaginative Painting,4,Outerwear,,5,91,479,242,61,61,0,0,0,,
Puffy Sleeves,4,Outerwear,,0,26,26,84,30,171,0,0,0,,
Puffy Sleeves,4,Outerwear,,1,33,33,105,38,214,0,0,0,,
Puffy Sleeves,4,Outerwear,,2,41,41,131,47,266,0,0,0,,
Puffy Sleeves,4,Outerwear,,3,50,50,160,57,325,0,0,0,,
Puffy Sleeves,4,Outerwear,,4,60,60,194,69,394,0,0,0,,
Puffy Sleeves,4,Outerwear,,5,72,72,231,83,471,0,0,0,,
