Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Footsteps of Love,3,Shoes,,0,27,154,75,20,23,0,0,0,,
Footsteps of Love,3,Shoes,,1,34,193,94,25,29,0,0,0,,
Footsteps of Love,3,Shoes,,2,42,239,0,31,36,0,0,0,,
Footsteps of Love,3,Shoes,,3,52,293,143,38,44,0,0,0,,
Footsteps of Love,3,Shoes,,4,63,355,173,46,53,0,0,0,,
Footsteps of Love,3,Shoes,,5,75,424,207,55,64,0,0,0,,
Pearly Bird,5,Shoes,,0,25,27,133,34,42,0,0,0,,
Pearly Bird,5,Shoes,,1,32,347,167,43,53,0,0,0,,
Pearly Bird,5,Shoes,,2,39,430,207,53,66,0,0,0,,
Pearly Bird,5,Shoes,,3,48,527,253,65,80,0,0,0,,
Pearly Bird,5,Shoes,,4,58,638,306,79,97,0,0,0,,
Pearly Bird,5,Shoes,,5,69,762,366,94,116,0,0,0,,
Stroll and Leisure,3,Shoes,,0,19,163,16,20,83,0,0,0,,
Stroll and Leisure,3,Shoes,,1,24,204,20,25,104,0,0,0,,
Stroll and Leisure,3,Shoes,,2,30,253,25,31,129,0,0,0,,
Stroll and Leisure,3,Shoes,,3,37,310,31,38,158,0,0,0,,
Stroll and Leisure,3,Shoes,,4,44,375,37,46,191,0,0,0,,
Stroll and Leisure,3,Shoes,,5,53,449,44,55,229,0,0,0,,
Windchaser,3,Shoes,,0,22,78,23,24,153,0,0,0,,
Windchaser,3,Shoes,,1,28,98,29,30,192,0,0,0,,
Windchaser,3,Shoes,,2,35,121,36,38,238,0,0,0,,
Windchaser,3,Shoes,,3,42,149,44,46,291,0,0,0,,
Windchaser,3,Shoes,,4,51,180,53,56,352,0,0,0,,
Windchaser,3,Shoes,,5,61,215,64,66,421,0,0,0,,
At Night?,3,Shoes,,0,8,15,0,40,77,0,0,0,,
At Night?,3,Shoes,,1,10,19,14,50,97,0,0,0,,
At Night?,3,Shoes,,2,13,24,18,62,120,0,0,0,,
At Night?,3,Shoes,,3,16,29,21,76,147,0,0,0,,
At Night?,3,Shoes,,4,19,35,26,92,178,0,0,0,,
At Night?,3,Shoes,,5,22,42,31,110,212,0,0,0,,
Cool Sprint,3,Shoes,,0,0,27,16,79,162,0,0,0,,
Cool Sprint,3,Shoes,,1,22,34,20,99,203,0,0,0,,
Cool Sprint,3,Shoes,,2,27,42,25,123,252,0,0,0,,
Cool Sprint,3,Shoes,,3,33,52,31,151,308,0,0,0,,
Cool Sprint,3,Shoes,,4,40,63,37,182,373,0,0,0,,
Cool Sprint,3,Shoes,,5,47,75,44,218,446,0,0,0,,
Competition,3,Shoes,,0,16,27,18,83,156,0,0,0,,
Competition,3,Shoes,,1,20,34,23,104,195,0,0,0,,
Competition,3,Shoes,,2,25,42,28,129,242,0,0,0,,
Competition,3,Shoes,,3,31,52,35,158,297,0,0,0,,
Competition,3,Shoes,,4,37,63,42,191,359,0,0,0,,
Competition,3,Shoes,,5,44,75,50,229,429,0,0,0,,
Emerald Whirl,3,Shoes,,0,21,76,29,0,157,0,0,0,,
Emerald Whirl,3,Shoes,,1,27,95,37,22,197,0,0,0,,
Emerald Whirl,3,Shoes,,2,33,118,45,27,244,0,0,0,,
Emerald Whirl,3,Shoes,,3,40,145,56,33,299,0,0,0,,
Emerald Whirl,3,Shoes,,4,49,175,67,40,362,0,0,0,,
Emerald Whirl,3,Shoes,,5,58,209,80,47,432,0,0,0,,
Longing Footsteps,3,Shoes,,0,73,23,24,27,153,0,0,0,,
Longing Footsteps,3,Shoes,,1,92,29,30,34,192,0,0,0,,
Longing Footsteps,3,Shoes,,2,4,36,38,42,238,0,0,0,,
Longing Footsteps,3,Shoes,,3,139,44,46,52,291,0,0,0,,
Longing Footsteps,3,Shoes,,4,168,53,56,63,352,0,0,0,,
Longing Footsteps,3,Shoes,,5,201,64,66,75,421,0,0,0,,
Traveler's Shoes,3,Shoes,,0,18,77,29,18,158,0,0,0,,
Traveler's Shoes,3,Shoes,,1,23,0,37,23,198,0,0,0,,
Traveler's Shoes,3,Shoes,,2,28,120,45,28,245,0,0,0,,
