Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Crybaby Vest,3,Top,,0,43,130,46,33,247,0,0,0,,
Crybaby Vest,3,Top,,1,54,163,58,42,309,0,0,0,,
Crybaby Vest,3,Top,,2,67,202,72,52,383,0,0,0,,
Crybaby Vest,3,Top,,3,82,247,88,63,470,0,0,0,,
Crybaby Vest,3,Top,,4,99,299,106,76,569,0,0,0,,
Crybaby Vest,3,Top,,5,19,358,127,91,680,0,0,0,,
Scalding Tears,3,Top,,0,32,317,40,53,58,0,0,0,,
Scalding Tears,3,Top,,1,40,397,50,67,73,0,0,0,,
Scalding Tears,3,Top,,2,50,492,62,83,90,0,0,0,,
Scalding Tears,3,Top,,3,61,603,76,101,0,0,0,0,,
Scalding Tears,3,Top,,4,74,730,92,122,134,0,0,0,,
Scalding Tears,3,Top,,5,88,872,110,146,160,0,0,0,,
Steaming Skewers,3,Top,,0,34,33,261,38,134,0,0,0,,
Steaming Skewers,3,Top,,1,43,42,327,48,168,0,0,0,,
Steaming Skewers,3,Top,,2,53,52,405,59,208,0,0,0,,
Steaming Skewers,3,Top,,3,65,63,496,73,255,0,0,0,,
Steaming Skewers,3,Top,,4,79,76,601,88,309,0,0,0,,
Steaming Skewers,3,Top,,5,94,91,718,105,369,0,0,0,,
Golden Handprint,3,Top,,0,34,132,27,41,266,0,0,0,,
Golden Handprint,3,Top,,1,43,165,34,52,333,0,0,0,,
Golden Handprint,3,Top,,2,53,205,42,64,413,0,0,0,,
Golden Handprint,3,Top,,3,65,251,52,78,506,0,0,0,,
Golden Handprint,3,Top,,4,79,304,63,95,612,0,0,0,,
Golden Handprint,3,Top,,5,94,363,75,113,732,0,0,0,,
Noir Creed 01,3,Top,,0,37,125,48,35,256,0,0,0,,
Noir Creed 01,3,Top,,1,47,157,60,44,320,0,0,0,,
Noir Creed 01,3,Top,,2,58,194,75,55,397,0,0,0,,
Noir Creed 01,3,Top,,3,71,238,92,67,487,0,0,0,,
Noir Creed 01,3,Top,,4,86,288,0,81,589,0,0,0,,
Noir Creed 01,3,Top,,5,102,344,132,0,704,0,0,0,,
Raging Rockling,5,Top,,0,63,62,227,57,442,0,0,0,,
Raging Rockling,5,Top,,1,79,78,284,72,553,0,0,0,,
Raging Rockling,5,Top,,2,98,0,352,89,686,0,0,0,,
Raging Rockling,5,Top,,3,120,118,432,109,840,0,0,0,,
Raging Rockling,5,Top,,4,145,143,523,132,1017,0,0,0,,
Raging Rockling,5,Top,,5,174,171,625,157,1216,0,0,0,,
Riverside Run,3,Top,,0,39,134,35,24,267,0,0,0,,
Riverside Run,3,Top,,1,49,168,44,30,334,0,0,0,,
Riverside Run,3,Top,,2,61,208,55,38,414,0,0,0,,
Riverside Run,3,Top,,3,75,255,67,46,508,0,0,0,,
Riverside Run,3,Top,,4,90,309,81,56,615,0,0,0,,
Riverside Run,3,Top,,5,108,369,0,66,735,0,0,0,,
Rebellious Dream,3,Top,,0,34,29,34,138,265,0,0,0,,
Rebellious Dream,3,Top,,1,43,37,43,173,332,0,0,0,,
Rebellious Dream,3,Top,,2,53,45,53,214,41,0,0,0,,
Rebellious Dream,3,Top,,3,65,56,65,263,504,0,0,0,,
Rebellious Dream,3,Top,,4,79,67,79,318,610,0,0,0,,
Rebellious Dream,3,Top,,5,94,80,94,380,729,0,0,0,,
Well-Organized,3,Top,,0,41,132,25,255,47,0,0,0,,
Well-Organized,3,Top,,1,52,165,32,319,59,0,0,0,,
Well-Organized,3,Top,,2,64,205,39,396,73,0,0,0,,
Well-Organized,3,Top,,3,78,251,48,485,90,0,0,0,,
Well-Organized,3,Top,,4,95,304,58,587,109,0,0,0,,
Well-Organized,3,Top,,5,113,363,69,702,130,0,0,0,,
Distant Gaze ,3,Top,,0,130,269,35,38,28,0,0,0,,
Distant Gaze ,3,Top,,1,163,337,44,48,35,0,0,0,,
Distant Gaze ,3,Top,,2,202,417,55,59,44,0,0,0,,
Distant Gaze ,3,Top,,3,247,512,67,73,54,0,0,0,,
Distant Gaze ,3,Top,,4,299,619,81,88,65,0,0,0,,
Distant Gaze ,3,Top,,5,358,740,0,105,77,0,0,0,,
Mark of Life,3,Top,,0,45,32,39,132,251,0,0,0,,
Mark of Life,3,Top,,1,57,40,49,165,314,0,0,0,,
Mark of Life,3,Top,,2,70,50,61,205,390,0,0,0,,
Mark of Life,3,Top,,3,86,61,75,251,477,0,0,0,,
Mark of Life,3,Top,,4,104,74,90,304,578,0,0,0,,
Mark of Life,3,Top,,5,124,88,108,363,691,0,0,0,,
Fleeting Oath,3,Top,,0,24,41,125,48,262,0,0,0,,
Fleeting Oath,3,Top,,1,30,52,157,60,328,0,0,0,,
Fleeting Oath,3,Top,,2,38,64,194,75,407,0,0,0,,
Fleeting Oath,3,Top,,3,46,78,238,92,498,0,0,0,,
Fleeting Oath,3,Top,,4,56,95,288,0,603,0,0,0,,
Fleeting Oath,3,Top,,5,66,113,344,132,721,0,0,0,,
Cutie Dragon,3,Top,,0,30,260,130,32,48,0,0,0,,
Cutie Dragon,3,Top,,1,38,325,163,40,60,0,0,0,,
Cutie Dragon,3,Top,,2,47,403,202,50,75,0,0,0,,
Cutie Dragon,3,Top,,3,57,494,247,61,92,0,0,0,,
Cutie Dragon,3,Top,,4,69,598,299,74,0,0,0,0,,
Cutie Dragon,3,Top,,5,83,715,358,88,132,0,0,0,,
Academy Tribute,3,Top,,0,130,44,28,42,255,0,0,0,,
Academy Tribute,3,Top,,1,163,55,35,53,319,0,0,0,,
Academy Tribute,3,Top,,2,202,69,44,66,396,0,0,0,,
Academy Tribute,3,Top,,3,247,84,54,80,485,0,0,0,,
Academy Tribute,3,Top,,4,299,102,65,0,587,0,0,0,,
Academy Tribute,3,Top,,5,358,121,77,116,702,0,0,0,,
Ceremony Guest,4,Top,,0,337,47,58,61,172,0,0,0,,
Ceremony Guest,4,Top,,1,422,59,73,77,215,0,0,0,,
Ceremony Guest,4,Top,,2,523,73,90,95,267,0,0,0,,
Ceremony Guest,4,Top,,3,641,90,0,116,327,0,0,0,,
Ceremony Guest,4,Top,,4,776,109,134,141,396,0,0,0,,
Ceremony Guest,4,Top,,5,927,130,160,168,473,0,0,0,,
Light Travel,3,Top,,0,35,250,42,46,127,0,0,0,,
Light Travel,3,Top,,1,44,313,53,58,159,0,0,0,,
Light Travel,3,Top,,2,55,388,66,72,197,0,0,0,,
Light Travel,3,Top,,3,67,475,80,88,242,0,0,0,,
Light Travel,3,Top,,4,81,575,0,106,293,0,0,0,,
Light Travel,3,Top,,5,0,688,116,127,350,0,0,0,,
Refreshing Greenery,3,Top,,0,31,248,130,48,43,0,0,0,,
Refreshing Greenery,3,Top,,1,39,310,163,60,54,0,0,0,,
Refreshing Greenery,3,Top,,2,49,385,202,75,67,0,0,0,,
Refreshing Greenery,3,Top,,3,59,472,247,92,82,0,0,0,,
Refreshing Greenery,3,Top,,4,72,0,299,0,99,0,0,0,,
Refreshing Greenery,3,Top,,5,86,682,358,132,119,0,0,0,,
Verdant Freedom,3,Top,,0,132,260,40,23,44,0,0,0,,
Verdant Freedom,3,Top,,1,165,325,50,29,55,0,0,0,,
Verdant Freedom,3,Top,,2,205,403,62,36,69,0,0,0,,
Verdant Freedom,3,Top,,3,251,494,76,44,84,0,0,0,,
Verdant Freedom,3,Top,,4,304,598,92,53,102,0,0,0,,
Verdant Freedom,3,Top,,5,363,715,110,64,121,0,0,0,,
Expedition Souvenir,3,Top,,0,45,263,35,30,127,0,0,0,,
Expedition Souvenir,3,Top,,1,57,329,44,38,159,0,0,0,,
Expedition Souvenir,3,Top,,2,70,408,55,47,197,0,0,0,,
Expedition Souvenir,3,Top,,3,86,500,67,57,242,0,0,0,,
Expedition Souvenir,3,Top,,4,104,605,81,69,293,0,0,0,,
Expedition Souvenir,3,Top,,5,124,724,0,83,350,0,0,0,,
Crimson Snowstorm,4,Top,,0,55,49,50,176,345,0,0,0,,
Crimson Snowstorm,4,Top,,1,69,62,63,220,432,0,0,0,,
Crimson Snowstorm,4,Top,,2,86,76,78,273,535,0,0,0,,
Crimson Snowstorm,4,Top,,3,105,94,95,335,656,0,0,0,,
Crimson Snowstorm,4,Top,,4,127,113,0,405,794,0,0,0,,
Crimson Snowstorm,4,Top,,5,152,135,138,484,949,0,0,0,,
Hundred Daisies,3,Top,,0,30,128,44,258,40,0,0,0,,
Hundred Daisies,3,Top,,1,38,160,55,323,50,0,0,0,,
Hundred Daisies,3,Top,,2,47,199,69,400,62,0,0,0,,
Hundred Daisies,3,Top,,3,57,244,84,491,76,0,0,0,,
Hundred Daisies,3,Top,,4,69,295,102,594,92,0,0,0,,
Hundred Daisies,3,Top,,5,83,352,121,710,110,0,0,0,,
Classroom Hours,3,Top,,0,260,30,132,44,34,0,0,0,,
Classroom Hours,3,Top,,1,325,38,165,55,43,0,0,0,,
Classroom Hours,3,Top,,2,403,47,205,69,53,0,0,0,,
Classroom Hours,3,Top,,3,494,57,251,84,65,0,0,0,,
Classroom Hours,3,Top,,4,598,69,304,102,79,0,0,0,,
Classroom Hours,3,Top,,5,75,83,363,121,94,0,0,0,,
Clear Mind,3,Top,,0,41,49,32,36,342,0,0,0,,
Clear Mind,3,Top,,1,52,62,40,45,428,0,0,0,,
Clear Mind,3,Top,,2,64,76,50,56,531,0,0,0,,
Clear Mind,3,Top,,3,78,94,61,69,650,0,0,0,,
Clear Mind,3,Top,,4,95,113,74,83,787,0,0,0,,
Clear Mind,3,Top,,5,113,135,88,99,941,0,0,0,,
Striped Celebration,3,Top,,0,32,47,29,131,262,0,0,0,,
Striped Celebration,3,Top,,1,40,59,37,164,328,0,0,0,,
Striped Celebration,3,Top,,2,50,73,45,204,407,0,0,0,,
Striped Celebration,3,Top,,3,61,90,56,249,498,0,0,0,,
Striped Celebration,3,Top,,4,74,109,67,302,603,0,0,0,,
Striped Celebration,3,Top,,5,88,130,80,361,721,0,0,0,,
Majestic Stance,3,Top,,0,32,134,39,37,258,0,0,0,,
Majestic Stance,3,Top,,1,40,168,49,47,323,0,0,0,,
Majestic Stance,3,Top,,2,50,208,61,58,400,0,0,0,,
Majestic Stance,3,Top,,3,61,255,75,71,491,0,0,0,,
Majestic Stance,3,Top,,4,74,309,90,86,594,0,0,0,,
Majestic Stance,3,Top,,5,88,369,108,102,710,0,0,0,,
Sweet Pink,3,Top,,0,40,131,262,42,24,0,0,0,,
Sweet Pink,3,Top,,1,50,164,328,53,30,0,0,0,,
Sweet Pink,3,Top,,2,62,204,407,66,38,0,0,0,,
Sweet Pink,3,Top,,3,76,249,498,80,46,0,0,0,,
Sweet Pink,3,Top,,4,92,302,603,0,56,0,0,0,,
Sweet Pink,3,Top,,5,110,361,721,116,66,0,0,0,,
Floral Rhythm,3,Top,,0,33,266,38,137,27,0,0,0,,
Floral Rhythm,3,Top,,1,42,333,48,172,34,0,0,0,,
Floral Rhythm,3,Top,,2,52,413,59,213,42,0,0,0,,
Floral Rhythm,3,Top,,3,63,506,73,261,52,0,0,0,,
Floral Rhythm,3,Top,,4,76,612,88,316,63,0,0,0,,
Floral Rhythm,3,Top,,5,91,732,105,377,0,0,0,0,,
Sunny Floral Blouse,3,Top,,0,131,253,44,45,28,0,0,0,,
Sunny Floral Blouse,3,Top,,1,164,317,55,57,35,0,0,0,,
Sunny Floral Blouse,3,Top,,2,204,393,69,70,44,0,0,0,,
Sunny Floral Blouse,3,Top,,3,249,481,84,86,54,0,0,0,,
Sunny Floral Blouse,3,Top,,4,302,582,102,104,65,0,0,0,,
Sunny Floral Blouse,3,Top,,5,361,696,121,124,77,0,0,0,,
Quick Warm-up,3,Top,,0,32,46,255,42,125,0,0,0,,
Quick Warm-up,3,Top,,1,40,58,319,53,157,0,0,0,,
Quick Warm-up,3,Top,,2,50,72,396,66,194,0,0,0,,
Quick Warm-up,3,Top,,3,61,88,485,80,238,0,0,0,,
Quick Warm-up,3,Top,,4,74,106,587,0,288,0,0,0,,
Quick Warm-up,3,Top,,5,88,127,702,116,344,0,0,0,,
Orange Rebel,3,Top,,0,44,127,42,247,40,0,0,0,,
Orange Rebel,3,Top,,1,55,159,53,309,50,0,0,0,,
Orange Rebel,3,Top,,2,69,197,66,383,62,0,0,0,,
Orange Rebel,3,Top,,3,84,242,80,470,76,0,0,0,,
Orange Rebel,3,Top,,4,102,293,0,569,92,0,0,0,,
Orange Rebel,3,Top,,5,121,350,116,680,110,0,0,0,,
Wisteria's Longing,3,Top,,0,33,138,276,26,26,0,0,0,,
Wisteria's Longing,3,Top,,1,42,173,345,33,33,0,0,0,,
Wisteria's Longing,3,Top,,2,52,214,428,41,41,0,0,0,,
Wisteria's Longing,3,Top,,3,63,263,525,50,50,0,0,0,,
Wisteria's Longing,3,Top,,4,76,318,635,60,60,0,0,0,,
Wisteria's Longing,3,Top,,5,91,380,759,72,72,0,0,0,,
Dream Walker,2,Top,,0,0,77,20,28,159,0,0,0,,
Dream Walker,2,Top,,1,22,0,25,35,199,0,0,0,,
Dream Walker,2,Top,,2,27,120,31,44,247,0,0,0,,
Dream Walker,2,Top,,3,33,147,38,54,303,0,0,0,,
Dream Walker,2,Top,,4,40,178,46,65,366,0,0,0,,
Dream Walker,2,Top,,5,47,212,55,77,438,0,0,0,,
Starting Mood,2,Top,,0,22,158,76,26,18,0,0,0,,
Starting Mood,2,Top,,1,28,198,95,33,23,0,0,0,,
Starting Mood,2,Top,,2,35,245,118,41,28,0,0,0,,
Starting Mood,2,Top,,3,42,301,145,50,35,0,0,0,,
Starting Mood,2,Top,,4,51,364,175,60,42,0,0,0,,
Starting Mood,2,Top,,5,61,435,209,72,50,0,0,0,,
Ethereal Lace,2,Top,,0,19,14,160,79,27,0,0,0,,
Ethereal Lace,2,Top,,1,24,18,200,99,34,0,0,0,,
Ethereal Lace,2,Top,,2,30,22,248,123,42,0,0,0,,
Ethereal Lace,2,Top,,3,37,27,304,151,52,0,0,0,,
Ethereal Lace,2,Top,,4,44,33,368,182,63,0,0,0,,
Ethereal Lace,2,Top,,5,53,39,440,218,75,0,0,0,,
Past Vines,2,Top,,0,83,26,158,18,15,0,0,0,,
Past Vines,2,Top,,1,104,33,198,23,19,0,0,0,,
Past Vines,2,Top,,2,129,41,245,28,24,0,0,0,,
Past Vines,2,Top,,3,158,50,301,35,29,0,0,0,,
Past Vines,2,Top,,4,191,60,364,42,35,0,0,0,,
Past Vines,2,Top,,5,229,72,435,50,42,0,0,0,,
Summer Blackstar,2,Top,,0,0,77,23,154,29,0,0,0,,
Summer Blackstar,2,Top,,1,22,0,29,193,37,0,0,0,,
Summer Blackstar,2,Top,,2,27,120,36,239,45,0,0,0,,
Summer Blackstar,2,Top,,3,33,147,44,293,56,0,0,0,,
Summer Blackstar,2,Top,,4,40,178,53,355,67,0,0,0,,
Summer Blackstar,2,Top,,5,47,212,64,424,80,0,0,0,,
Dreamland Marathon,3,Top,,0,29,133,270,38,30,0,0,0,,
Dreamland Marathon,3,Top,,1,37,167,338,48,38,0,0,0,,
Dreamland Marathon,3,Top,,2,45,207,419,59,47,0,0,0,,
Dreamland Marathon,3,Top,,3,56,253,513,73,57,0,0,0,,
Dreamland Marathon,3,Top,,4,67,306,621,88,69,0,0,0,,
Dreamland Marathon,3,Top,,5,80,366,743,105,83,0,0,0,,
Splashed Ink,4,Top,,0,43,346,167,55,64,0,0,0,,
Splashed Ink,4,Top,,1,54,433,209,69,80,0,0,0,,
Splashed Ink,4,Top,,2,67,537,259,86,100,0,0,0,,
Splashed Ink,4,Top,,3,82,658,318,105,122,0,0,0,,
Splashed Ink,4,Top,,4,99,796,385,127,148,0,0,0,,
Splashed Ink,4,Top,,5,19,952,460,152,176,0,0,0,,
Set Sail,4,Top,,0,35,176,56,55,354,0,0,0,,
Set Sail,4,Top,,1,44,220,70,69,443,0,0,0,,
Set Sail,4,Top,,2,55,273,87,86,549,0,0,0,,
Set Sail,4,Top,,3,67,335,107,105,673,0,0,0,,
Set Sail,4,Top,,4,81,405,129,127,815,0,0,0,,
Set Sail,4,Top,,5,0,484,154,152,974,0,0,0,,
Azure Waters,4,Top,,0,28,32,154,33,303,0,0,0,,
Azure Waters,4,Top,,1,35,40,193,42,379,0,0,0,,
Azure Waters,4,Top,,2,44,50,239,52,470,0,0,0,,
Azure Waters,4,Top,,3,54,61,293,63,576,0,0,0,,
Azure Waters,4,Top,,4,65,74,355,76,697,0,0,0,,
Azure Waters,4,Top,,5,77,88,424,91,834,0,0,0,,
Siesta Tunes,4,Top,,0,48,30,285,46,141,0,0,0,,
Siesta Tunes,4,Top,,1,60,38,357,58,0,0,0,0,,
Siesta Tunes,4,Top,,2,75,47,442,72,219,0,0,0,,
Siesta Tunes,4,Top,,3,92,57,542,88,268,0,0,0,,
Siesta Tunes,4,Top,,4,0,69,656,106,325,0,0,0,,
Siesta Tunes,4,Top,,5,132,83,784,127,388,0,0,0,,
