Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Ripened Squash,3,Bracelet,,0,10,80,9,10,41,0,0,0,,
Ripened Squash,3,Bracelet,,1,13,100,0,13,52,0,0,0,,
Ripened Squash,3,Bracelet,,2,16,124,14,16,64,0,0,0,,
Ripened Squash,3,Bracelet,,3,19,152,18,19,78,0,0,0,,
Ripened Squash,3,Bracelet,,4,23,184,21,23,95,0,0,0,,
Ripened Squash,3,Bracelet,,5,28,220,25,28,113,0,0,0,,
Lavenfringe Chains,3,Bracelet,,0,8,40,83,9,10,0,0,0,,
Lavenfringe Chains,3,Bracelet,,1,10,50,104,12,13,0,0,0,,
Lavenfringe Chains,3,Bracelet,,2,13,62,129,14,16,0,0,0,,
Lavenfringe Chains,3,Bracelet,,3,16,76,158,18,19,0,0,0,,
Lavenfringe Chains,3,Bracelet,,4,19,92,191,21,23,0,0,0,,
Lavenfringe Chains,3,Bracelet,,5,22,110,229,25,28,0,0,0,,
Orange Sun,3,Bracelet,,0,10,77,39,10,13,0,0,0,,
Orange Sun,3,Bracelet,,1,13,0,49,13,0,0,0,0,,
Orange Sun,3,Bracelet,,2,16,120,61,16,21,0,0,0,,
Orange Sun,3,Bracelet,,3,19,147,75,19,25,0,0,0,,
Orange Sun,3,Bracelet,,4,23,178,90,23,30,0,0,0,,
Orange Sun,3,Bracelet,,5,28,212,108,28,36,0,0,0,,
Blessing Nebula,3,Bracelet,,0,7,0,79,39,13,0,0,0,,
Blessing Nebula,3,Bracelet,,1,9,15,99,49,0,0,0,0,,
Blessing Nebula,3,Bracelet,,2,0,19,123,61,21,0,0,0,,
Blessing Nebula,3,Bracelet,,3,14,23,151,75,25,0,0,0,,
Blessing Nebula,3,Bracelet,,4,0,28,182,90,30,0,0,0,,
Blessing Nebula,3,Bracelet,,5,20,33,218,108,36,0,0,0,,
Lucky Knot,2,Bracelet,,0,47,7,23,6,7,0,0,0,,
Lucky Knot,2,Bracelet,,1,59,9,29,8,9,0,0,0,,
Lucky Knot,2,Bracelet,,2,73,0,36,10,0,0,0,0,,
