Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Wishful Honors,5,Chest Accessory,,0,129,22,65,20,18,0,0,0,,
Wishful Honors,5,Chest Accessory,,1,162,28,82,25,23,0,0,0,,
Wishful Honors,5,Chest Accessory,,2,200,35,101,31,28,0,0,0,,
Wishful Honors,5,Chest Accessory,,3,246,42,124,38,35,0,0,0,,
Wishful Honors,5,Chest Accessory,,4,297,51,150,46,42,0,0,0,,
Wishful Honors,5,Chest Accessory,,5,355,61,179,55,50,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,0,39,0,9,14,77,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,1,49,15,0,18,97,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,2,61,19,14,22,120,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,3,75,23,18,27,147,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,4,90,28,21,33,178,0,0,0,,
Galaxy's Desire,3,Chest Accessory,,5,108,33,25,39,212,0,0,0,,
Unnamed Medal,3,Chest Accessory,,0,13,14,12,36,75,0,0,0,,
Unnamed Medal,3,Chest Accessory,,1,0,18,15,45,94,0,0,0,,
Unnamed Medal,3,Chest Accessory,,2,21,22,19,56,0,0,0,0,,
Unnamed Medal,3,Chest Accessory,,3,25,27,23,69,143,0,0,0,,
Unnamed Medal,3,Chest Accessory,,4,30,33,28,83,173,0,0,0,,
Unnamed Medal,3,Chest Accessory,,5,36,39,33,99,207,0,0,0,,
Glorious Calling,3,Chest Accessory,,0,10,36,13,14,76,0,0,0,,
Glorious Calling,3,Chest Accessory,,1,13,45,0,18,95,0,0,0,,
Glorious Calling,3,Chest Accessory,,2,16,56,21,22,118,0,0,0,,
Glorious Calling,3,Chest Accessory,,3,19,69,25,27,145,0,0,0,,
Glorious Calling,3,Chest Accessory,,4,23,83,30,33,175,0,0,0,,
Glorious Calling,3,Chest Accessory,,5,28,99,36,39,209,0,0,0,,
Power Supply,4,Chest Accessory,,0,13,41,15,13,82,0,0,0,,
Power Supply,4,Chest Accessory,,1,0,52,19,0,103,0,0,0,,
Power Supply,4,Chest Accessory,,2,21,64,24,21,128,0,0,0,,
Power Supply,4,Chest Accessory,,3,25,78,29,25,156,0,0,0,,
Power Supply,4,Chest Accessory,,4,30,95,35,30,189,0,0,0,,
Power Supply,4,Chest Accessory,,5,36,113,42,36,226,0,0,0,,
Field Posy,4,Chest Accessory,,0,14,15,84,10,42,0,0,0,,
Field Posy,4,Chest Accessory,,1,18,19,105,13,53,0,0,0,,
Field Posy,4,Chest Accessory,,2,22,24,131,16,66,0,0,0,,
Field Posy,4,Chest Accessory,,3,27,29,160,19,80,0,0,0,,
Field Posy,4,Chest Accessory,,4,33,35,194,23,97,0,0,0,,
Field Posy,4,Chest Accessory,,5,39,42,231,28,116,0,0,0,,
