Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Night's Soul,3,Choker,,0,14,9,8,39,80,0,0,0,,
Night's Soul,3,Choker,,1,18,0,10,49,100,0,0,0,,
Night's Soul,3,Choker,,2,22,14,13,61,124,0,0,0,,
Night's Soul,3,Choker,,3,27,18,16,75,152,0,0,0,,
Night's Soul,3,Choker,,4,33,21,19,90,184,0,0,0,,
Night's Soul,3,Choker,,5,39,25,22,108,220,0,0,0,,
Heartfelt Words,3,Choker,,0,8,10,79,13,39,0,0,0,,
Heartfelt Words,3,Choker,,1,10,13,99,0,49,0,0,0,,
Heartfelt Words,3,Choker,,2,13,16,123,21,61,0,0,0,,
Heartfelt Words,3,Choker,,3,16,19,151,25,75,0,0,0,,
Heartfelt Words,3,Choker,,4,19,23,182,30,90,0,0,0,,
Heartfelt Words,3,Choker,,5,22,28,218,36,108,0,0,0,,
Fluttering Heart,3,Choker,,0,9,9,8,41,83,0,0,0,,
Fluttering Heart,3,Choker,,1,0,0,10,52,104,0,0,0,,
Fluttering Heart,3,Choker,,2,14,14,13,64,129,0,0,0,,
Fluttering Heart,3,Choker,,3,18,18,16,78,158,0,0,0,,
Fluttering Heart,3,Choker,,4,21,21,19,95,191,0,0,0,,
Fluttering Heart,3,Choker,,5,25,25,22,113,229,0,0,0,,
Swan Sonata,5,Choker,,0,138,14,18,65,20,0,0,0,,
Swan Sonata,5,Choker,,1,173,18,23,82,25,0,0,0,,
Swan Sonata,5,Choker,,2,214,22,28,101,31,0,0,0,,
Swan Sonata,5,Choker,,3,263,27,35,124,38,0,0,0,,
Swan Sonata,5,Choker,,4,318,33,42,150,46,0,0,0,,
Swan Sonata,5,Choker,,5,380,39,50,179,55,0,0,0,,
Sealing Cocoon,5,Choker,,0,67,24,13,131,20,0,0,0,,
Sealing Cocoon,5,Choker,,1,84,30,0,164,25,0,0,0,,
Sealing Cocoon,5,Choker,,2,104,38,21,204,31,0,0,0,,
Sealing Cocoon,5,Choker,,3,128,46,25,249,38,0,0,0,,
Sealing Cocoon,5,Choker,,4,155,56,30,302,46,0,0,0,,
Sealing Cocoon,5,Choker,,5,185,66,36,361,55,0,0,0,,
Silent Whispers,3,Choker,,0,39,13,14,77,8,0,0,0,,
Silent Whispers,3,Choker,,1,49,0,18,0,10,0,0,0,,
Silent Whispers,3,Choker,,2,61,21,22,120,13,0,0,0,,
Silent Whispers,3,Choker,,3,75,25,27,147,16,0,0,0,,
Silent Whispers,3,Choker,,4,90,30,33,178,19,0,0,0,,
Silent Whispers,3,Choker,,5,108,36,39,212,22,0,0,0,,
Rebellious Will,3,Choker,,0,7,14,12,40,77,0,0,0,,
Rebellious Will,3,Choker,,1,9,18,15,50,97,0,0,0,,
Rebellious Will,3,Choker,,2,0,22,19,62,120,0,0,0,,
Rebellious Will,3,Choker,,3,14,27,23,76,147,0,0,0,,
Rebellious Will,3,Choker,,4,0,33,28,92,178,0,0,0,,
Rebellious Will,3,Choker,,5,20,39,33,110,212,0,0,0,,
Past Fragrance,4,Choker,,0,40,85,0,14,15,0,0,0,,
Past Fragrance,4,Choker,,1,50,107,14,18,19,0,0,0,,
Past Fragrance,4,Choker,,2,62,132,18,22,24,0,0,0,,
Past Fragrance,4,Choker,,3,76,162,21,27,29,0,0,0,,
Past Fragrance,4,Choker,,4,92,196,26,33,35,0,0,0,,
Past Fragrance,4,Choker,,5,110,234,31,39,42,0,0,0,,
Flowing Ripple,4,Choker,,0,8,44,87,0,15,0,0,0,,
Flowing Ripple,4,Choker,,1,10,55,109,14,19,0,0,0,,
Flowing Ripple,4,Choker,,2,13,69,135,18,24,0,0,0,,
Flowing Ripple,4,Choker,,3,16,84,166,21,29,0,0,0,,
Flowing Ripple,4,Choker,,4,19,102,201,26,35,0,0,0,,
Flowing Ripple,4,Choker,,5,22,121,240,31,42,0,0,0,,
First Impression,3,Choker,,0,0,39,79,8,12,0,0,0,,
First Impression,3,Choker,,1,15,49,99,10,15,0,0,0,,
First Impression,3,Choker,,2,19,61,123,13,19,0,0,0,,
First Impression,3,Choker,,3,23,75,151,16,23,0,0,0,,
First Impression,3,Choker,,4,28,90,182,19,28,0,0,0,,
First Impression,3,Choker,,5,33,108,218,22,33,0,0,0,,
