Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Purple Whisper,3,Earrings,,0,13,39,78,7,12,0,0,0,,
Purple Whisper,3,Earrings,,1,0,49,98,9,15,0,0,0,,
Purple Whisper,3,Earrings,,2,21,61,121,0,19,0,0,0,,
Purple Whisper,3,Earrings,,3,25,75,149,14,23,0,0,0,,
Purple Whisper,3,Earrings,,4,30,90,180,0,28,0,0,0,,
Purple Whisper,3,Earrings,,5,36,108,215,20,33,0,0,0,,
Wish Bottle Earrings,4,Earrings,,0,100,51,18,16,7,0,0,0,,
Wish Bottle Earrings,4,Earrings,,1,125,64,23,20,22,0,0,0,,
Wish Bottle Earrings,4,Earrings,,2,155,80,28,25,27,0,0,0,,
Wish Bottle Earrings,4,Earrings,,3,190,0,35,31,33,0,0,0,,
Wish Bottle Earrings,4,Earrings,,4,230,118,42,37,40,0,0,0,,
Wish Bottle Earrings,4,Earrings,,5,275,141,50,44,47,0,0,0,,
Surprise Box,3,Earrings,,0,13,37,74,13,13,0,0,0,,
Surprise Box,3,Earrings,,1,0,47,93,0,0,0,0,0,,
Surprise Box,3,Earrings,,2,21,58,0,21,21,0,0,0,,
Surprise Box,3,Earrings,,3,25,71,141,25,25,0,0,0,,
Surprise Box,3,Earrings,,4,30,86,171,30,30,0,0,0,,
Surprise Box,3,Earrings,,5,36,102,204,36,36,0,0,0,,
Droopy Banner,3,Earrings,,0,13,7,13,39,78,0,0,0,,
Droopy Banner,3,Earrings,,1,0,9,0,49,98,0,0,0,,
Droopy Banner,3,Earrings,,2,21,0,21,61,121,0,0,0,,
Droopy Banner,3,Earrings,,3,25,14,25,75,149,0,0,0,,
Droopy Banner,3,Earrings,,4,30,0,30,90,180,0,0,0,,
Droopy Banner,3,Earrings,,5,36,20,36,108,215,0,0,0,,
Tangy Dreams,3,Earrings,,0,38,0,79,9,12,0,0,0,,
Tangy Dreams,3,Earrings,,1,48,15,99,12,15,0,0,0,,
Tangy Dreams,3,Earrings,,2,59,19,123,14,19,0,0,0,,
Tangy Dreams,3,Earrings,,3,73,23,151,18,23,0,0,0,,
Tangy Dreams,3,Earrings,,4,88,28,182,21,28,0,0,0,,
Tangy Dreams,3,Earrings,,5,105,33,218,25,33,0,0,0,,
Flashing Alert,3,Earrings,,0,9,39,14,0,77,0,0,0,,
Flashing Alert,3,Earrings,,1,0,49,18,14,97,0,0,0,,
Flashing Alert,3,Earrings,,2,14,61,22,18,120,0,0,0,,
Flashing Alert,3,Earrings,,3,18,75,27,21,147,0,0,0,,
Flashing Alert,3,Earrings,,4,21,90,33,26,178,0,0,0,,
Flashing Alert,3,Earrings,,5,25,108,39,31,212,0,0,0,,
Cinders,3,Earrings,,0,10,39,12,0,78,0,0,0,,
Cinders,3,Earrings,,1,13,49,15,14,98,0,0,0,,
Cinders,3,Earrings,,2,16,61,19,18,121,0,0,0,,
Cinders,3,Earrings,,3,19,75,23,21,149,0,0,0,,
Cinders,3,Earrings,,4,23,90,28,26,180,0,0,0,,
Cinders,3,Earrings,,5,28,108,33,31,215,0,0,0,,
Daisy Reminiscence,3,Earrings,,0,0,37,77,13,11,0,0,0,,
Daisy Reminiscence,3,Earrings,,1,14,47,0,0,14,0,0,0,,
Daisy Reminiscence,3,Earrings,,2,18,58,120,21,18,0,0,0,,
Daisy Reminiscence,3,Earrings,,3,21,71,147,25,21,0,0,0,,
Daisy Reminiscence,3,Earrings,,4,26,86,178,30,26,0,0,0,,
Daisy Reminiscence,3,Earrings,,5,31,102,212,36,31,0,0,0,,
Gleaming Wilderness,4,Earrings,,0,0,107,53,0,15,0,0,0,,
Gleaming Wilderness,4,Earrings,,1,14,134,67,22,19,0,0,0,,
Gleaming Wilderness,4,Earrings,,2,18,166,83,27,24,0,0,0,,
Gleaming Wilderness,4,Earrings,,3,21,204,101,33,29,0,0,0,,
Gleaming Wilderness,4,Earrings,,4,26,247,122,40,35,0,0,0,,
Gleaming Wilderness,4,Earrings,,5,31,295,146,47,42,0,0,0,,
Floral Whispers,3,Earrings,,0,37,76,14,10,14,0,0,0,,
Floral Whispers,3,Earrings,,1,47,95,18,13,18,0,0,0,,
Floral Whispers,3,Earrings,,2,58,118,22,16,22,0,0,0,,
Floral Whispers,3,Earrings,,3,71,145,27,19,27,0,0,0,,
Floral Whispers,3,Earrings,,4,86,175,33,23,33,0,0,0,,
Floral Whispers,3,Earrings,,5,102,209,39,28,39,0,0,0,,
Stockpile Audit,3,Earrings,,0,16,14,12,0,90,0,0,0,,
