Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Through the Mist,3,Face Decoration,,0,40,10,9,10,82,0,0,0,,
Through the Mist,3,Face Decoration,,1,50,13,0,13,103,0,0,0,,
Through the Mist,3,Face Decoration,,2,62,16,14,16,128,0,0,0,,
Through the Mist,3,Face Decoration,,3,76,19,18,19,156,0,0,0,,
Through the Mist,3,Face Decoration,,4,92,23,21,23,189,0,0,0,,
Through the Mist,3,Face Decoration,,5,110,28,25,28,226,0,0,0,,
Trusted Protection,3,Face Decoration,,0,0,37,10,14,78,0,0,0,,
Trusted Protection,3,Face Decoration,,1,14,47,13,18,98,0,0,0,,
Trusted Protection,3,Face Decoration,,2,18,58,16,22,121,0,0,0,,
Trusted Protection,3,Face Decoration,,3,21,71,19,27,149,0,0,0,,
Trusted Protection,3,Face Decoration,,4,26,86,23,33,180,0,0,0,,
Trusted Protection,3,Face Decoration,,5,31,102,28,39,215,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,0,18,19,0,48,101,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,1,23,24,22,60,127,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,2,28,30,27,75,157,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,3,35,37,33,92,192,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,4,42,44,40,0,233,0,0,0,,
Glimpse of Sunset,4,Face Decoration,,5,50,53,47,132,278,0,0,0,,
Risk Prevention,4,Face Decoration,,0,9,46,8,12,90,0,0,0,,
Risk Prevention,4,Face Decoration,,1,0,58,10,15,113,0,0,0,,
Risk Prevention,4,Face Decoration,,2,14,72,13,19,140,0,0,0,,
Risk Prevention,4,Face Decoration,,3,18,88,16,23,171,0,0,0,,
Risk Prevention,4,Face Decoration,,4,21,106,19,28,207,0,0,0,,
Risk Prevention,4,Face Decoration,,5,25,127,22,33,248,0,0,0,,
