Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Delicate Leaves,3,Gloves,,0,0,77,10,14,38,0,0,0,,
Delicate Leaves,3,Gloves,,1,14,0,13,18,48,0,0,0,,
Delicate Leaves,3,Gloves,,2,18,120,16,22,59,0,0,0,,
Delicate Leaves,3,Gloves,,3,21,147,19,27,73,0,0,0,,
Delicate Leaves,3,Gloves,,4,26,178,23,33,88,0,0,0,,
Delicate Leaves,3,Gloves,,5,31,212,28,39,105,0,0,0,,
Sincere Greetings,3,Gloves,,0,39,0,0,77,12,0,0,0,,
Sincere Greetings,3,Gloves,,1,49,14,14,0,15,0,0,0,,
Sincere Greetings,3,Gloves,,2,61,18,18,120,19,0,0,0,,
Sincere Greetings,3,Gloves,,3,75,21,21,147,23,0,0,0,,
Sincere Greetings,3,Gloves,,4,90,26,26,178,28,0,0,0,,
Sincere Greetings,3,Gloves,,5,108,31,31,212,33,0,0,0,,
Fingerless Gloves,4,Gloves,,0,16,50,0,15,104,0,0,0,,
Fingerless Gloves,4,Gloves,,1,20,63,22,19,130,0,0,0,,
Fingerless Gloves,4,Gloves,,2,25,78,27,24,162,0,0,0,,
Fingerless Gloves,4,Gloves,,3,31,95,33,29,198,0,0,0,,
Fingerless Gloves,4,Gloves,,4,37,0,40,35,240,0,0,0,,
Fingerless Gloves,4,Gloves,,5,44,138,47,42,286,0,0,0,,
Feathered Gleam,5,Gloves,,0,128,21,21,61,24,0,0,0,,
Feathered Gleam,5,Gloves,,1,160,27,27,77,30,0,0,0,,
Feathered Gleam,5,Gloves,,2,199,33,33,95,38,0,0,0,,
Feathered Gleam,5,Gloves,,3,244,40,40,116,46,0,0,0,,
Feathered Gleam,5,Gloves,,4,295,49,49,141,56,0,0,0,,
Feathered Gleam,5,Gloves,,5,352,58,58,168,66,0,0,0,,
Delicate Wings,5,Gloves,,0,66,22,18,132,7,0,0,0,,
Delicate Wings,5,Gloves,,1,83,28,23,165,22,0,0,0,,
Delicate Wings,5,Gloves,,2,103,35,28,205,27,0,0,0,,
Delicate Wings,5,Gloves,,3,126,42,35,251,33,0,0,0,,
Delicate Wings,5,Gloves,,4,152,51,42,304,40,0,0,0,,
Delicate Wings,5,Gloves,,5,182,61,50,363,47,0,0,0,,
Thorough Investigation,3,Gloves,,0,10,40,0,8,81,0,0,0,,
Thorough Investigation,3,Gloves,,1,13,50,14,10,102,0,0,0,,
Thorough Investigation,3,Gloves,,2,16,62,18,13,126,0,0,0,,
