Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Crochet Butterfly,3,Hair Accessory,,0,8,42,81,9,10,0,0,0,,
Crochet Butterfly,3,Hair Accessory,,1,10,53,102,12,13,0,0,0,,
Crochet Butterfly,3,Hair Accessory,,2,13,66,126,14,16,0,0,0,,
Crochet Butterfly,3,Hair Accessory,,3,16,80,154,18,19,0,0,0,,
Crochet Butterfly,3,Hair Accessory,,4,19,0,187,21,23,0,0,0,,
Crochet Butterfly,3,Hair Accessory,,5,22,116,223,25,28,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,0,10,10,83,40,8,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,1,13,13,104,50,10,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,2,16,16,129,62,13,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,3,19,19,158,76,16,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,4,23,23,191,92,19,0,0,0,,
Knitted Butterflies,3,Hair Accessory,,5,28,28,229,110,22,0,0,0,,
Gala Crystal,4,Hair Accessory,,0,102,19,0,52,12,0,0,0,,
Gala Crystal,4,Hair Accessory,,1,128,24,22,65,15,0,0,0,,
Gala Crystal,4,Hair Accessory,,2,159,30,27,81,19,0,0,0,,
Gala Crystal,4,Hair Accessory,,3,194,37,33,99,23,0,0,0,,
Gala Crystal,4,Hair Accessory,,4,235,44,40,120,28,0,0,0,,
Gala Crystal,4,Hair Accessory,,5,281,53,47,143,33,0,0,0,,
Woven Dreams,3,Hair Accessory,,0,39,77,9,12,14,0,0,0,,
Woven Dreams,3,Hair Accessory,,1,49,0,0,15,18,0,0,0,,
Woven Dreams,3,Hair Accessory,,2,61,120,14,19,22,0,0,0,,
Woven Dreams,3,Hair Accessory,,3,75,147,18,23,27,0,0,0,,
Woven Dreams,3,Hair Accessory,,4,90,178,21,28,33,0,0,0,,
Woven Dreams,3,Hair Accessory,,5,108,212,25,33,39,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,0,14,7,39,13,77,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,1,18,9,49,0,97,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,2,22,0,61,21,120,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,3,27,14,75,25,147,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,4,33,0,90,30,178,0,0,0,,
Rebounding Deep Breath,3,Hair Accessory,,5,39,20,108,36,212,0,0,0,,
Sunny Windchime,3,Hair Accessory,,0,0,77,13,0,38,0,0,0,,
Sunny Windchime,3,Hair Accessory,,1,14,0,0,14,48,0,0,0,,
Sunny Windchime,3,Hair Accessory,,2,18,120,21,18,59,0,0,0,,
Sunny Windchime,3,Hair Accessory,,3,21,147,25,21,73,0,0,0,,
Sunny Windchime,3,Hair Accessory,,4,26,178,30,26,88,0,0,0,,
Sunny Windchime,3,Hair Accessory,,5,31,212,36,31,105,0,0,0,,
Modern Trends,3,Hair Accessory,,0,14,15,95,9,18,0,0,0,,
Modern Trends,3,Hair Accessory,,1,18,19,19,12,23,0,0,0,,
Modern Trends,3,Hair Accessory,,2,22,24,148,14,28,0,0,0,,
Modern Trends,3,Hair Accessory,,3,27,29,181,18,35,0,0,0,,
Modern Trends,3,Hair Accessory,,4,33,35,219,21,42,0,0,0,,
Modern Trends,3,Hair Accessory,,5,39,42,262,25,50,0,0,0,,
Floral Hopes,2,Hair Accessory,,0,49,5,25,5,6,0,0,0,,
Floral Hopes,2,Hair Accessory,,1,62,7,32,7,8,0,0,0,,
Floral Hopes,2,Hair Accessory,,2,76,8,39,8,10,0,0,0,,
Floral Hopes,2,Hair Accessory,,3,94,10,48,10,12,0,0,0,,
Floral Hopes,2,Hair Accessory,,4,13,0,58,12,14,0,0,0,,
Floral Hopes,2,Hair Accessory,,5,135,14,69,14,7,0,0,0,,
Starry Hairband,2,Hair Accessory,,0,8,6,6,23,47,0,0,0,,
Starry Hairband,2,Hair Accessory,,1,10,8,8,29,59,0,0,0,,
Starry Hairband,2,Hair Accessory,,2,13,10,10,36,73,0,0,0,,
Starry Hairband,2,Hair Accessory,,3,16,0,0,44,90,0,0,0,,
Starry Hairband,2,Hair Accessory,,4,19,14,14,53,109,0,0,0,,
Starry Hairband,2,Hair Accessory,,5,22,0,0,64,130,0,0,0,,
Wind's Caress,4,Hair Accessory,,0,43,87,13,12,10,0,0,0,,
Wind's Caress,4,Hair Accessory,,1,54,109,0,15,13,0,0,0,,
Wind's Caress,4,Hair Accessory,,2,67,135,21,19,16,0,0,0,,
Wind's Caress,4,Hair Accessory,,3,82,166,25,23,19,0,0,0,,
Wind's Caress,4,Hair Accessory,,4,99,201,30,28,23,0,0,0,,
Wind's Caress,4,Hair Accessory,,5,19,240,36,33,28,0,0,0,,
Hopeful Knot,4,Hair Accessory,,0,18,105,54,16,10,0,0,0,,
Hopeful Knot,4,Hair Accessory,,1,23,132,68,20,13,0,0,0,,
Hopeful Knot,4,Hair Accessory,,2,28,163,84,25,16,0,0,0,,
Hopeful Knot,4,Hair Accessory,,3,35,200,103,31,19,0,0,0,,
Hopeful Knot,4,Hair Accessory,,4,42,242,125,37,23,0,0,0,,
Hopeful Knot,4,Hair Accessory,,5,50,289,149,44,28,0,0,0,,
A New Dawn,4,Hair Accessory,,0,50,0,102,16,18,0,0,0,,
A New Dawn,4,Hair Accessory,,1,63,22,128,20,23,0,0,0,,
A New Dawn,4,Hair Accessory,,2,78,27,159,25,28,0,0,0,,
A New Dawn,4,Hair Accessory,,3,95,33,194,31,35,0,0,0,,
A New Dawn,4,Hair Accessory,,4,0,40,235,37,42,0,0,0,,
A New Dawn,4,Hair Accessory,,5,138,47,281,44,50,0,0,0,,
Guiding Star,4,Hair Accessory,,0,15,52,10,18,108,0,0,0,,
Guiding Star,4,Hair Accessory,,1,19,65,13,23,135,0,0,0,,
Guiding Star,4,Hair Accessory,,2,24,81,16,28,168,0,0,0,,
Guiding Star,4,Hair Accessory,,3,29,99,19,35,206,0,0,0,,
Guiding Star,4,Hair Accessory,,4,35,120,23,42,249,0,0,0,,
Guiding Star,4,Hair Accessory,,5,42,143,28,50,297,0,0,0,,
Intermission,4,Hair Accessory,,0,53,18,103,18,10,0,0,0,,
Intermission,4,Hair Accessory,,1,67,23,129,23,13,0,0,0,,
Intermission,4,Hair Accessory,,2,83,28,160,28,16,0,0,0,,
Intermission,4,Hair Accessory,,3,101,35,196,35,19,0,0,0,,
Intermission,4,Hair Accessory,,4,122,42,237,42,23,0,0,0,,
Intermission,4,Hair Accessory,,5,146,50,284,50,28,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,0,47,23,5,9,7,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,1,59,29,7,12,9,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,2,73,36,8,14,0,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,3,90,44,10,18,14,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,4,109,53,0,21,0,0,0,0,,
Starlit Diaderm,2,Hair Accessory,,5,130,64,14,25,20,0,0,0,,
Suprise Invitation,3,Hair Accessory,,0,0,100,9,16,14,0,0,0,,
Suprise Invitation,3,Hair Accessory,,1,14,125,12,20,18,0,0,0,,
Suprise Invitation,3,Hair Accessory,,2,18,155,14,25,22,0,0,0,,
Suprise Invitation,3,Hair Accessory,,3,21,190,18,31,27,0,0,0,,
Suprise Invitation,3,Hair Accessory,,4,26,230,21,37,33,0,0,0,,
Suprise Invitation,3,Hair Accessory,,5,31,275,25,44,39,0,0,0,,
Pearly Dots,3,Hair Accessory,,0,25,47,5,6,7,0,0,0,,
Pearly Dots,3,Hair Accessory,,1,32,59,7,8,9,0,0,0,,
Pearly Dots,3,Hair Accessory,,2,39,73,8,10,11,0,0,0,,
Pearly Dots,3,Hair Accessory,,3,48,90,10,12,14,0,0,0,,
Pearly Dots,3,Hair Accessory,,4,58,109,0,14,0,0,0,0,,
Pearly Dots,3,Hair Accessory,,5,69,130,14,0,20,0,0,0,,
Starlit Companions,3,Hair Accessory,,0,9,39,80,14,8,0,0,0,,
Starlit Companions,3,Hair Accessory,,1,0,49,100,18,10,0,0,0,,
Starlit Companions,3,Hair Accessory,,2,14,61,124,22,13,0,0,0,,
Starlit Companions,3,Hair Accessory,,3,18,75,152,27,16,0,0,0,,
Starlit Companions,3,Hair Accessory,,4,21,90,184,33,19,0,0,0,,
Starlit Companions,3,Hair Accessory,,5,25,108,220,39,22,0,0,0,,
Morning Greetings,3,Hair Accessory,,0,76,13,36,12,12,0,0,0,,
Morning Greetings,3,Hair Accessory,,1,95,0,45,15,15,0,0,0,,
Morning Greetings,3,Hair Accessory,,2,118,21,56,19,19,0,0,0,,
Morning Greetings,3,Hair Accessory,,3,145,25,69,23,23,0,0,0,,
Morning Greetings,3,Hair Accessory,,4,175,30,83,28,28,0,0,0,,
Morning Greetings,3,Hair Accessory,,5,209,36,99,33,33,0,0,0,,
Starlit Dreams,5,Hair Accessory,,0,66,130,18,18,23,0,0,0,,
Starlit Dreams,5,Hair Accessory,,1,83,163,23,23,29,0,0,0,,
Starlit Dreams,5,Hair Accessory,,2,103,202,28,28,36,0,0,0,,
Starlit Dreams,5,Hair Accessory,,3,126,247,35,35,44,0,0,0,,
Starlit Dreams,5,Hair Accessory,,4,152,299,42,42,53,0,0,0,,
Starlit Dreams,5,Hair Accessory,,5,182,358,50,50,64,0,0,0,,
Peachy Oath,3,Hair Accessory,,0,8,39,79,0,14,0,0,0,,
Peachy Oath,3,Hair Accessory,,1,10,49,99,14,18,0,0,0,,
Peachy Oath,3,Hair Accessory,,2,13,61,123,18,22,0,0,0,,
Peachy Oath,3,Hair Accessory,,3,16,75,151,21,27,0,0,0,,
Peachy Oath,3,Hair Accessory,,4,19,90,182,26,33,0,0,0,,
Peachy Oath,3,Hair Accessory,,5,22,108,218,31,39,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,0,14,10,86,15,41,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,1,18,13,108,19,52,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,2,22,16,134,24,64,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,3,27,19,164,29,78,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,4,33,23,198,35,95,0,0,0,,
Nostalgic Breeze,4,Hair Accessory,,5,39,28,237,42,113,0,0,0,,
Star Seeker,3,Hair Accessory,,0,0,9,38,79,13,0,0,0,,
Star Seeker,3,Hair Accessory,,1,14,0,48,99,7,0,0,0,,
Star Seeker,3,Hair Accessory,,2,18,14,59,123,21,0,0,0,,
Star Seeker,3,Hair Accessory,,3,21,18,73,151,25,0,0,0,,
Star Seeker,3,Hair Accessory,,4,26,21,88,182,30,0,0,0,,
Star Seeker,3,Hair Accessory,,5,31,25,105,218,36,0,0,0,,
Blossom Verses,4,Hair Accessory,,0,86,45,0,8,14,0,0,0,,
Blossom Verses,4,Hair Accessory,,1,108,57,14,10,18,0,0,0,,
Blossom Verses,4,Hair Accessory,,2,134,70,18,13,22,0,0,0,,
Blossom Verses,4,Hair Accessory,,3,164,86,21,16,27,0,0,0,,
Blossom Verses,4,Hair Accessory,,4,198,104,26,19,33,0,0,0,,
Blossom Verses,4,Hair Accessory,,5,237,124,31,22,39,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,0,10,44,84,14,14,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,1,13,55,105,18,18,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,2,16,69,131,22,22,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,3,19,84,160,27,27,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,4,23,102,194,33,33,0,0,0,,
Twinkling Refractions,4,Hair Accessory,,5,28,121,231,39,39,0,0,0,,
