Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Eternal Harmony,5,Headwear,,0,134,15,65,18,24,0,0,0,,
Eternal Harmony,5,Headwear,,1,168,19,82,23,30,0,0,0,,
Eternal Harmony,5,Headwear,,2,208,24,101,28,38,0,0,0,,
Eternal Harmony,5,Headwear,,3,255,29,124,35,46,0,0,0,,
Eternal Harmony,5,Headwear,,4,309,35,150,42,56,0,0,0,,
Eternal Harmony,5,Headwear,,5,369,42,179,50,66,0,0,0,,
Mist Piercer,3,Headwear,,0,12,0,14,36,76,0,0,0,,
Mist Piercer,3,Headwear,,1,15,15,18,45,95,0,0,0,,
Mist Piercer,3,Headwear,,2,19,19,22,56,118,0,0,0,,
Mist Piercer,3,Headwear,,3,23,23,27,69,145,0,0,0,,
Mist Piercer,3,Headwear,,4,28,28,33,83,175,0,0,0,,
Mist Piercer,3,Headwear,,5,33,33,39,99,209,0,0,0,,
Winding Branches,3,Headwear,,0,0,77,39,15,8,0,0,0,,
Winding Branches,3,Headwear,,1,14,0,49,19,10,0,0,0,,
Winding Branches,3,Headwear,,2,18,120,61,24,13,0,0,0,,
Winding Branches,3,Headwear,,3,21,147,75,29,16,0,0,0,,
Winding Branches,3,Headwear,,4,26,178,90,35,19,0,0,0,,
Winding Branches,3,Headwear,,5,31,212,108,42,22,0,0,0,,
Abyssal Gaze,3,Headwear,,0,10,14,0,15,94,0,0,0,,
Abyssal Gaze,3,Headwear,,1,13,18,22,19,118,0,0,0,,
Abyssal Gaze,3,Headwear,,2,16,22,27,24,146,0,0,0,,
Abyssal Gaze,3,Headwear,,3,19,27,33,29,179,0,0,0,,
Abyssal Gaze,3,Headwear,,4,23,33,40,35,217,0,0,0,,
Abyssal Gaze,3,Headwear,,5,28,39,47,42,259,0,0,0,,
Shaky Branch,3,Headwear,,0,0,80,40,10,9,0,0,0,,
Shaky Branch,3,Headwear,,1,15,100,50,13,12,0,0,0,,
Shaky Branch,3,Headwear,,2,19,124,62,16,14,0,0,0,,
Shaky Branch,3,Headwear,,3,23,152,76,19,18,0,0,0,,
Shaky Branch,3,Headwear,,4,28,184,92,23,21,0,0,0,,
Shaky Branch,3,Headwear,,5,33,220,110,28,25,0,0,0,,
Cool Shade,3,Headwear,,0,24,68,12,23,23,0,0,0,,
Cool Shade,3,Headwear,,1,30,85,15,29,29,0,0,0,,
Cool Shade,3,Headwear,,2,38,106,19,36,36,0,0,0,,
Cool Shade,3,Headwear,,3,46,130,23,44,44,0,0,0,,
Cool Shade,3,Headwear,,4,56,157,28,53,53,0,0,0,,
Cool Shade,3,Headwear,,5,66,187,33,64,64,0,0,0,,
Blossom's Wish,3,Headwear,,0,42,80,8,9,11,0,0,0,,
Blossom's Wish,3,Headwear,,1,53,100,10,12,14,0,0,0,,
Blossom's Wish,3,Headwear,,2,66,124,13,14,18,0,0,0,,
Blossom's Wish,3,Headwear,,3,80,152,16,18,21,0,0,0,,
Blossom's Wish,3,Headwear,,4,0,184,19,21,26,0,0,0,,
Blossom's Wish,3,Headwear,,5,116,220,22,25,31,0,0,0,,
Gentle Sunshine,3,Headwear,,0,14,13,76,9,38,0,0,0,,
Gentle Sunshine,3,Headwear,,1,18,0,95,12,48,0,0,0,,
Gentle Sunshine,3,Headwear,,2,22,21,118,14,59,0,0,0,,
Gentle Sunshine,3,Headwear,,3,27,25,145,18,73,0,0,0,,
Gentle Sunshine,3,Headwear,,4,33,30,175,21,88,0,0,0,,
Gentle Sunshine,3,Headwear,,5,39,36,209,25,105,0,0,0,,
Choo-Choo Whistle,3,Headwear,,0,0,39,14,0,75,0,0,0,,
Choo-Choo Whistle,3,Headwear,,1,14,49,18,14,94,0,0,0,,
Choo-Choo Whistle,3,Headwear,,2,18,61,22,18,0,0,0,0,,
Choo-Choo Whistle,3,Headwear,,3,21,75,27,21,143,0,0,0,,
Choo-Choo Whistle,3,Headwear,,4,26,90,33,26,173,0,0,0,,
Choo-Choo Whistle,3,Headwear,,5,31,108,39,31,207,0,0,0,,
Adventure's Hat,3,Headwear,,0,13,39,13,10,75,0,0,0,,
Adventure's Hat,3,Headwear,,1,0,49,0,13,94,0,0,0,,
Adventure's Hat,3,Headwear,,2,21,61,21,16,0,0,0,0,,
Adventure's Hat,3,Headwear,,3,25,75,25,19,143,0,0,0,,
Adventure's Hat,3,Headwear,,4,30,90,30,23,173,0,0,0,,
Adventure's Hat,3,Headwear,,5,36,108,36,28,207,0,0,0,,
Dark Night Sky,3,Headwear,,0,0,13,10,39,77,0,0,0,,
Dark Night Sky,3,Headwear,,1,14,0,13,49,97,0,0,0,,
Dark Night Sky,3,Headwear,,2,18,21,16,61,120,0,0,0,,
Dark Night Sky,3,Headwear,,3,21,25,19,75,147,0,0,0,,
Dark Night Sky,3,Headwear,,4,26,30,23,90,178,0,0,0,,
Dark Night Sky,3,Headwear,,5,31,36,28,108,212,0,0,0,,
Fluttering Feathers,5,Headwear,,0,131,24,23,62,15,0,0,0,,
Fluttering Feathers,5,Headwear,,1,164,30,29,78,19,0,0,0,,
Fluttering Feathers,5,Headwear,,2,204,38,36,0,24,0,0,0,,
Fluttering Feathers,5,Headwear,,3,249,46,44,118,29,0,0,0,,
Fluttering Feathers,5,Headwear,,4,302,56,53,143,35,0,0,0,,
Fluttering Feathers,5,Headwear,,5,361,66,64,171,42,0,0,0,,
Bloom Together,5,Headwear,,0,67,131,24,16,7,0,0,0,,
Bloom Together,5,Headwear,,1,84,164,30,20,22,0,0,0,,
Bloom Together,5,Headwear,,2,104,204,38,25,27,0,0,0,,
Bloom Together,5,Headwear,,3,128,249,46,31,33,0,0,0,,
Bloom Together,5,Headwear,,4,155,302,56,37,40,0,0,0,,
Bloom Together,5,Headwear,,5,185,361,66,44,47,0,0,0,,
Frigid Branches,5,Headwear,,0,66,0,15,139,18,0,0,0,,
Frigid Branches,5,Headwear,,1,83,22,19,174,23,0,0,0,,
Frigid Branches,5,Headwear,,2,103,27,24,216,28,0,0,0,,
Frigid Branches,5,Headwear,,3,126,33,29,265,35,0,0,0,,
Frigid Branches,5,Headwear,,4,152,40,35,320,42,0,0,0,,
Frigid Branches,5,Headwear,,5,182,47,42,383,50,0,0,0,,
Sunset Finale,3,Headwear,,0,81,13,7,9,41,0,0,0,,
Sunset Finale,3,Headwear,,1,102,0,9,12,52,0,0,0,,
Sunset Finale,3,Headwear,,2,126,21,0,14,64,0,0,0,,
Sunset Finale,3,Headwear,,3,154,25,14,18,78,0,0,0,,
Sunset Finale,3,Headwear,,4,187,30,0,21,95,0,0,0,,
Sunset Finale,3,Headwear,,5,223,36,20,25,113,0,0,0,,
Guardian's Pact,3,Headwear,,0,19,19,16,19,78,0,0,0,,
Guardian's Pact,3,Headwear,,1,24,24,20,24,98,0,0,0,,
Guardian's Pact,3,Headwear,,2,30,30,25,30,121,0,0,0,,
Guardian's Pact,3,Headwear,,3,37,37,31,37,149,0,0,0,,
Guardian's Pact,3,Headwear,,4,44,44,37,44,180,0,0,0,,
Guardian's Pact,3,Headwear,,5,53,53,44,53,215,0,0,0,,
Bestseller's Crown,2,Headwear,,0,9,10,8,6,58,0,0,0,,
Bestseller's Crown,2,Headwear,,1,0,13,10,8,73,0,0,0,,
