Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Wish Bottle Necklace,3,Neckwear,,0,9,78,38,14,11,0,0,0,,
Wish Bottle Necklace,3,Neckwear,,1,0,98,48,18,14,0,0,0,,
Wish Bottle Necklace,3,Neckwear,,2,14,121,59,22,18,0,0,0,,
Wish Bottle Necklace,3,Neckwear,,3,18,149,73,27,21,0,0,0,,
Wish Bottle Necklace,3,Neckwear,,4,21,180,88,33,26,0,0,0,,
Wish Bottle Necklace,3,Neckwear,,5,25,215,105,39,31,0,0,0,,
Budding Sprout,3,Neckwear,,0,78,0,38,13,10,0,0,0,,
Budding Sprout,3,Neckwear,,1,98,14,48,0,13,0,0,0,,
Budding Sprout,3,Neckwear,,2,121,18,59,21,16,0,0,0,,
Budding Sprout,3,Neckwear,,3,149,21,73,25,19,0,0,0,,
Budding Sprout,3,Neckwear,,4,180,26,88,30,23,0,0,0,,
Budding Sprout,3,Neckwear,,5,215,31,105,36,28,0,0,0,,
Guardian Pendant,3,Neckwear,,0,77,37,14,10,13,0,0,0,,
Guardian Pendant,3,Neckwear,,1,0,47,18,13,0,0,0,0,,
Guardian Pendant,3,Neckwear,,2,120,58,22,16,21,0,0,0,,
Guardian Pendant,3,Neckwear,,3,147,71,27,19,25,0,0,0,,
Guardian Pendant,3,Neckwear,,4,178,86,33,23,30,0,0,0,,
Guardian Pendant,3,Neckwear,,5,212,102,39,28,36,0,0,0,,
Pure Leaves,3,Neckwear,,0,10,76,40,0,13,0,0,0,,
Pure Leaves,3,Neckwear,,1,13,95,50,14,0,0,0,0,,
Pure Leaves,3,Neckwear,,2,16,118,62,18,21,0,0,0,,
Pure Leaves,3,Neckwear,,3,19,145,76,21,25,0,0,0,,
Pure Leaves,3,Neckwear,,4,23,175,92,26,30,0,0,0,,
Pure Leaves,3,Neckwear,,5,28,209,110,31,36,0,0,0,,
Fallen Star,3,Neckwear,,0,0,8,40,77,14,0,0,0,,
Fallen Star,3,Neckwear,,1,15,10,50,0,18,0,0,0,,
Fallen Star,3,Neckwear,,2,19,13,62,120,22,0,0,0,,
Fallen Star,3,Neckwear,,3,23,16,76,147,27,0,0,0,,
Fallen Star,3,Neckwear,,4,28,19,92,178,33,0,0,0,,
Fallen Star,3,Neckwear,,5,33,22,110,212,39,0,0,0,,
Connected Agate,3,Neckwear,,0,0,8,10,39,81,0,0,0,,
Connected Agate,3,Neckwear,,1,15,10,13,49,102,0,0,0,,
Connected Agate,3,Neckwear,,2,19,13,16,61,126,0,0,0,,
Connected Agate,3,Neckwear,,3,23,16,19,75,154,0,0,0,,
Connected Agate,3,Neckwear,,4,28,19,23,90,187,0,0,0,,
Connected Agate,3,Neckwear,,5,33,22,28,108,223,0,0,0,,
Blossom Promenade,5,Neckwear,,0,68,131,19,25,13,0,0,0,,
Blossom Promenade,5,Neckwear,,1,85,164,24,32,0,0,0,0,,
Blossom Promenade,5,Neckwear,,2,106,204,30,39,21,0,0,0,,
Blossom Promenade,5,Neckwear,,3,130,249,37,48,25,0,0,0,,
Blossom Promenade,5,Neckwear,,4,157,302,44,58,30,0,0,0,,
Blossom Promenade,5,Neckwear,,5,187,361,53,69,36,0,0,0,,
Silent Perch,5,Neckwear,,0,62,19,24,128,21,0,0,0,,
Silent Perch,5,Neckwear,,1,78,24,30,160,27,0,0,0,,
Silent Perch,5,Neckwear,,2,0,30,38,199,33,0,0,0,,
Silent Perch,5,Neckwear,,3,118,37,46,244,40,0,0,0,,
Silent Perch,5,Neckwear,,4,143,44,56,295,49,0,0,0,,
Silent Perch,5,Neckwear,,5,171,53,66,352,58,0,0,0,,
Cherished Moment,2,Neckwear,,0,51,6,5,24,5,0,0,0,,
Cherished Moment,2,Neckwear,,1,64,8,7,30,7,0,0,0,,
Cherished Moment,2,Neckwear,,2,80,10,8,38,8,0,0,0,,
Cherished Moment,2,Neckwear,,3,0,0,10,46,10,0,0,0,,
Cherished Moment,2,Neckwear,,4,118,14,0,56,12,0,0,0,,
Cherished Moment,2,Neckwear,,5,141,0,14,66,14,0,0,0,,
Dark Silverbloom,3,Neckwear,,0,77,21,18,14,19,0,0,0,,
Dark Silverbloom,3,Neckwear,,1,0,27,23,18,24,0,0,0,,
Dark Silverbloom,3,Neckwear,,2,120,33,28,22,30,0,0,0,,
Dark Silverbloom,3,Neckwear,,3,147,40,35,27,37,0,0,0,,
Dark Silverbloom,3,Neckwear,,4,178,49,42,33,44,0,0,0,,
Dark Silverbloom,3,Neckwear,,5,212,58,50,39,53,0,0,0,,
