Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Blue Flower Dye,3,Pendant,,0,8,7,79,14,41,0,0,0,,
Blue Flower Dye,3,Pendant,,1,10,9,99,18,52,0,0,0,,
Blue Flower Dye,3,Pendant,,2,13,0,123,22,64,0,0,0,,
Blue Flower Dye,3,Pendant,,3,16,14,151,27,78,0,0,0,,
Blue Flower Dye,3,Pendant,,4,19,0,182,33,95,0,0,0,,
Blue Flower Dye,3,Pendant,,5,22,20,218,39,113,0,0,0,,
Whispering Breeze,4,Pendant,,0,14,51,0,18,103,0,0,0,,
Whispering Breeze,4,Pendant,,1,18,64,22,23,129,0,0,0,,
Whispering Breeze,4,Pendant,,2,22,80,27,28,160,0,0,0,,
Whispering Breeze,4,Pendant,,3,27,0,33,35,196,0,0,0,,
Whispering Breeze,4,Pendant,,4,33,118,40,42,237,0,0,0,,
Whispering Breeze,4,Pendant,,5,39,141,47,50,284,0,0,0,,
Windswept Plume,4,Pendant,,0,91,43,10,10,11,0,0,0,,
Windswept Plume,4,Pendant,,1,4,54,13,13,14,0,0,0,,
Windswept Plume,4,Pendant,,2,142,67,16,16,18,0,0,0,,
Windswept Plume,4,Pendant,,3,173,82,19,19,21,0,0,0,,
Windswept Plume,4,Pendant,,4,210,99,23,23,26,0,0,0,,
Windswept Plume,4,Pendant,,5,251,19,28,28,31,0,0,0,,
