Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source
Floral Squash House,3,Socks,,0,23,126,16,12,22,0,0,0,,
Floral Squash House,3,Socks,,1,29,158,20,15,28,0,0,0,,
Floral Squash House,3,Socks,,2,36,196,25,19,35,0,0,0,,
Floral Squash House,3,Socks,,3,44,240,31,23,42,0,0,0,,
Floral Squash House,3,Socks,,4,53,290,37,28,51,0,0,0,,
Floral Squash House,3,Socks,,5,64,347,44,33,61,0,0,0,,
Fun Stripes,3,Socks,,0,0,48,18,18,99,0,0,0,,
Fun Stripes,3,Socks,,1,22,60,23,23,124,0,0,0,,
Fun Stripes,3,Socks,,2,27,75,28,28,154,0,0,0,,
Fun Stripes,3,Socks,,3,33,92,35,35,189,0,0,0,,
Fun Stripes,3,Socks,,4,40,0,42,42,228,0,0,0,,
Fun Stripes,3,Socks,,5,47,132,50,50,273,0,0,0,,
White Whirlwind,3,Socks,,0,16,51,0,14,108,0,0,0,,
White Whirlwind,3,Socks,,1,20,64,14,18,135,0,0,0,,
White Whirlwind,3,Socks,,2,25,80,18,22,168,0,0,0,,
White Whirlwind,3,Socks,,3,31,0,21,27,206,0,0,0,,
White Whirlwind,3,Socks,,4,37,118,26,33,249,0,0,0,,
White Whirlwind,3,Socks,,5,44,141,31,39,297,0,0,0,,
Low-Key Trail,3,Socks,,0,0,13,16,54,105,0,0,0,,
Low-Key Trail,3,Socks,,1,14,0,20,68,132,0,0,0,,
Low-Key Trail,3,Socks,,2,18,21,25,84,163,0,0,0,,
Low-Key Trail,3,Socks,,3,21,25,31,103,200,0,0,0,,
Low-Key Trail,3,Socks,,4,26,30,37,125,242,0,0,0,,
Low-Key Trail,3,Socks,,5,31,36,44,149,289,0,0,0,,
Enchanting Crimson,3,Socks,,0,0,18,50,106,14,0,0,0,,
Enchanting Crimson,3,Socks,,1,14,23,63,133,18,0,0,0,,
Enchanting Crimson,3,Socks,,2,18,28,78,165,22,0,0,0,,
Enchanting Crimson,3,Socks,,3,21,35,95,202,27,0,0,0,,
Enchanting Crimson,3,Socks,,4,26,42,0,244,33,0,0,0,,
Enchanting Crimson,3,Socks,,5,31,50,138,292,39,0,0,0,,
White Floral Net,3,Socks,,0,18,105,12,52,13,0,0,0,,
White Floral Net,3,Socks,,1,23,132,15,65,0,0,0,0,,
White Floral Net,3,Socks,,2,28,163,19,81,21,0,0,0,,
White Floral Net,3,Socks,,3,35,200,23,99,25,0,0,0,,
White Floral Net,3,Socks,,4,42,242,28,120,30,0,0,0,,
White Floral Net,3,Socks,,5,50,289,33,143,36,0,0,0,,
Melted Cream,3,Socks,,0,0,0,108,14,55,0,0,0,,
Melted Cream,3,Socks,,1,15,14,135,18,69,0,0,0,,
Melted Cream,3,Socks,,2,19,18,168,22,86,0,0,0,,
Melted Cream,3,Socks,,3,23,21,206,27,105,0,0,0,,
Melted Cream,3,Socks,,4,28,26,249,33,127,0,0,0,,
Melted Cream,3,Socks,,5,33,31,297,39,152,0,0,0,,
Lavender Stripes,3,Socks,,0,19,15,53,103,10,0,0,0,,
Lavender Stripes,3,Socks,,1,24,19,67,129,13,0,0,0,,
Lavender Stripes,3,Socks,,2,30,24,83,160,16,0,0,0,,
Lavender Stripes,3,Socks,,3,37,29,101,196,19,0,0,0,,
Lavender Stripes,3,Socks,,4,44,35,122,237,23,0,0,0,,
Lavender Stripes,3,Socks,,5,53,42,146,284,28,0,0,0,,
Radiant Heat,3,Socks,,0,18,103,14,13,52,0,0,0,,
Radiant Heat,3,Socks,,1,23,129,18,0,65,0,0,0,,
Radiant Heat,3,Socks,,2,28,160,22,21,81,0,0,0,,
Radiant Heat,3,Socks,,3,35,196,27,25,99,0,0,0,,
Radiant Heat,3,Socks,,4,42,237,33,30,120,0,0,0,,
Radiant Heat,3,Socks,,5,50,284,39,36,143,0,0,0,,
Diving Teaser,3,Socks,,0,0,50,0,12,103,0,0,0,,
Diving Teaser,3,Socks,,1,22,63,22,15,129,0,0,0,,
Diving Teaser,3,Socks,,2,27,78,27,19,160,0,0,0,,
Diving Teaser,3,Socks,,3,33,95,33,23,196,0,0,0,,
Diving Teaser,3,Socks,,4,40,0,40,28,237,0,0,0,,
Diving Teaser,3,Socks,,5,47,138,47,33,284,0,0,0,,
Dreamy Blossom,3,Socks,,0,0,104,13,54,7,0,0,0,,
Dreamy Blossom,3,Socks,,1,14,130,0,68,22,0,0,0,,
Dreamy Blossom,3,Socks,,2,18,162,21,84,27,0,0,0,,
Dreamy Blossom,3,Socks,,3,21,198,25,103,33,0,0,0,,
Dreamy Blossom,3,Socks,,4,26,240,30,125,40,0,0,0,,
Dreamy Blossom,3,Socks,,5,31,286,36,149,47,0,0,0,,
Midday Nap,3,Socks,,0,104,15,51,16,14,0,0,0,,
Midday Nap,3,Socks,,1,130,19,64,20,18,0,0,0,,
Midday Nap,3,Socks,,2,162,24,80,25,22,0,0,0,,
Midday Nap,3,Socks,,3,198,29,0,31,27,0,0,0,,
Midday Nap,3,Socks,,4,240,35,118,37,33,0,0,0,,
Midday Nap,3,Socks,,5,286,42,141,44,39,0,0,0,,
Dreamy Starlight,3,Socks,,0,0,10,52,109,19,0,0,0,,
Dreamy Starlight,3,Socks,,1,14,13,65,137,24,0,0,0,,
Dreamy Starlight,3,Socks,,2,18,16,81,169,30,0,0,0,,
Dreamy Starlight,3,Socks,,3,21,19,99,208,37,0,0,0,,
Dreamy Starlight,3,Socks,,4,26,23,120,251,44,0,0,0,,
Dreamy Starlight,3,Socks,,5,31,28,143,300,53,0,0,0,,
Interwoven with Love,5,Socks,,0,186,22,22,87,23,0,0,0,,
Interwoven with Love,5,Socks,,1,233,28,28,109,29,0,0,0,,
Interwoven with Love,5,Socks,,2,289,35,35,135,36,0,0,0,,
Interwoven with Love,5,Socks,,3,354,42,42,166,44,0,0,0,,
Interwoven with Love,5,Socks,,4,428,51,51,201,53,0,0,0,,
Interwoven with Love,5,Socks,,5,512,61,61,240,64,0,0,0,,
Imminent Bloom,5,Socks,,0,90,176,26,25,23,0,0,0,,
Imminent Bloom,5,Socks,,1,113,220,33,32,29,0,0,0,,
Imminent Bloom,5,Socks,,2,140,273,41,39,36,0,0,0,,
Imminent Bloom,5,Socks,,3,171,335,50,48,44,0,0,0,,
Imminent Bloom,5,Socks,,4,207,405,60,58,53,0,0,0,,
Imminent Bloom,5,Socks,,5,248,484,72,69,64,0,0,0,,
Windborne Memories,5,Socks,,0,88,21,18,182,31,0,0,0,,
Windborne Memories,5,Socks,,1,110,27,23,228,39,0,0,0,,
Windborne Memories,5,Socks,,2,137,33,28,283,49,0,0,0,,
Windborne Memories,5,Socks,,3,168,40,35,346,59,0,0,0,,
Windborne Memories,5,Socks,,4,203,49,42,419,72,0,0,0,,
Windborne Memories,5,Socks,,5,242,58,50,501,86,0,0,0,,
Peachfall Page,3,Socks,,0,0,51,104,12,16,0,0,0,,
Peachfall Page,3,Socks,,1,22,64,130,15,20,0,0,0,,
Peachfall Page,3,Socks,,2,27,80,162,19,25,0,0,0,,
Peachfall Page,3,Socks,,3,33,0,198,23,31,0,0,0,,
Peachfall Page,3,Socks,,4,40,118,240,28,37,0,0,0,,
Peachfall Page,3,Socks,,5,47,141,286,33,44,0,0,0,,
Sunflower Long Socks,4,Socks,,0,14,20,144,19,73,0,0,0,,
Sunflower Long Socks,4,Socks,,1,18,25,180,24,92,0,0,0,,
Sunflower Long Socks,4,Socks,,2,22,31,224,30,4,0,0,0,,
Sunflower Long Socks,4,Socks,,3,27,38,274,37,139,0,0,0,,
Sunflower Long Socks,4,Socks,,4,33,46,332,44,168,0,0,0,,
Sunflower Long Socks,4,Socks,,5,39,55,396,53,201,0,0,0,,
Frosted Sprinkles,3,Socks,,0,9,103,52,20,16,0,0,0,,
Frosted Sprinkles,3,Socks,,1,0,129,65,25,20,0,0,0,,
Frosted Sprinkles,3,Socks,,2,14,160,81,31,25,0,0,0,,
Frosted Sprinkles,3,Socks,,3,18,196,99,38,31,0,0,0,,
Frosted Sprinkles,3,Socks,,4,21,237,120,46,37,0,0,0,,
Frosted Sprinkles,3,Socks,,5,25,284,143,55,44,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,0,14,18,105,12,51,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,1,18,23,132,15,64,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,2,22,28,163,19,80,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,3,27,35,200,23,0,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,4,33,42,242,28,118,0,0,0,,
Ultra-Vibrant Stripes,3,Socks,,5,39,50,289,33,141,0,0,0,,
Down-to-Earth,2,Socks,,0,8,77,10,12,12,0,0,0,,
Down-to-Earth,2,Socks,,1,10,0,13,15,15,0,0,0,,
Down-to-Earth,2,Socks,,2,13,120,16,19,19,0,0,0,,
Down-to-Earth,2,Socks,,3,16,147,19,23,23,0,0,0,,
Down-to-Earth,2,Socks,,4,19,178,23,28,28,0,0,0,,
Down-to-Earth,2,Socks,,5,22,212,28,33,33,0,0,0,,
Everlasting Lace,2,Socks,,0,32,63,10,9,6,0,0,0,,
Everlasting Lace,2,Socks,,1,40,79,13,12,8,0,0,0,,
Everlasting Lace,2,Socks,,2,50,98,16,14,10,0,0,0,,
Everlasting Lace,2,Socks,,3,61,120,19,18,12,0,0,0,,
Everlasting Lace,2,Socks,,4,74,145,23,21,14,0,0,0,,
Everlasting Lace,2,Socks,,5,88,174,28,25,7,0,0,0,,
Fearless Night,2,Socks,,0,0,7,9,31,61,0,0,0,,
Fearless Night,2,Socks,,1,15,9,12,39,77,0,0,0,,
Fearless Night,2,Socks,,2,19,0,14,49,95,0,0,0,,
Fearless Night,2,Socks,,3,23,14,18,59,116,0,0,0,,
Fearless Night,2,Socks,,4,28,0,21,72,141,0,0,0,,
Fearless Night,2,Socks,,5,33,20,25,86,168,0,0,0,,
Save the Longstocking,3,Socks,,0,13,15,14,104,54,0,0,0,,
Save the Longstocking,3,Socks,,1,0,19,18,130,68,0,0,0,,
Save the Longstocking,3,Socks,,2,21,24,22,162,84,0,0,0,,
Save the Longstocking,3,Socks,,3,25,29,27,198,103,0,0,0,,
Save the Longstocking,3,Socks,,4,30,35,33,240,125,0,0,0,,
Save the Longstocking,3,Socks,,5,36,42,39,286,149,0,0,0,,
White Tights,2,Socks,,0,30,62,10,7,11,0,0,0,,
White Tights,2,Socks,,1,38,78,13,9,14,0,0,0,,
White Tights,2,Socks,,2,47,0,16,0,18,0,0,0,,
White Tights,2,Socks,,3,57,118,19,14,21,0,0,0,,
White Tights,2,Socks,,4,69,143,23,0,26,0,0,0,,
White Tights,2,Socks,,5,83,171,28,20,31,0,0,0,,
Rouge and Verdant,3,Socks,,0,53,18,100,10,19,0,0,0,,
Rouge and Verdant,3,Socks,,1,67,23,125,13,24,0,0,0,,
Rouge and Verdant,3,Socks,,2,83,28,155,16,30,0,0,0,,
Rouge and Verdant,3,Socks,,3,101,35,190,19,37,0,0,0,,
Rouge and Verdant,3,Socks,,4,122,42,230,23,44,0,0,0,,
Rouge and Verdant,3,Socks,,5,146,50,275,28,53,0,0,0,,
Midnight Bloom,3,Socks,,0,19,21,33,96,30,0,0,0,,
Midnight Bloom,3,Socks,,1,24,27,42,120,38,0,0,0,,
Midnight Bloom,3,Socks,,2,30,33,52,149,47,0,0,0,,
Midnight Bloom,3,Socks,,3,37,40,63,183,57,0,0,0,,
Midnight Bloom,3,Socks,,4,44,49,76,221,69,0,0,0,,
Midnight Bloom,3,Socks,,5,53,58,91,264,83,0,0,0,,
Free Spirit,2,Socks,,0,14,13,21,59,14,0,0,0,,
Free Spirit,2,Socks,,1,18,0,27,74,18,0,0,0,,
Free Spirit,2,Socks,,2,22,21,33,92,22,0,0,0,,
Free Spirit,2,Socks,,3,27,25,40,113,27,0,0,0,,
Free Spirit,2,Socks,,4,33,30,49,136,33,0,0,0,,
Free Spirit,2,Socks,,5,39,36,58,163,39,0,0,0,,
Monochrome Stripes,2,Socks,,0,7,33,9,7,63,0,0,0,,
Monochrome Stripes,2,Socks,,1,9,42,0,9,79,0,0,0,,
Monochrome Stripes,2,Socks,,2,0,52,14,0,98,0,0,0,,
Monochrome Stripes,2,Socks,,3,14,63,18,14,120,0,0,0,,
Monochrome Stripes,2,Socks,,4,0,76,21,0,145,0,0,0,,
Monochrome Stripes,2,Socks,,5,20,91,25,20,174,0,0,0,,
Sweet Dreams,3,Socks,,0,13,54,110,0,12,0,0,0,,
Sweet Dreams,3,Socks,,1,0,68,138,14,15,0,0,0,,
Sweet Dreams,3,Socks,,2,21,84,171,18,19,0,0,0,,
Sweet Dreams,3,Socks,,3,25,103,209,21,23,0,0,0,,
Sweet Dreams,3,Socks,,4,30,125,253,26,28,0,0,0,,
Sweet Dreams,3,Socks,,5,36,149,303,31,33,0,0,0,,
Rhythmic Pulse,4,Socks,,0,58,21,114,15,11,0,0,0,,
Rhythmic Pulse,4,Socks,,1,73,27,143,19,14,0,0,0,,
Rhythmic Pulse,4,Socks,,2,90,33,0,24,18,0,0,0,,
Rhythmic Pulse,4,Socks,,3,0,40,217,29,21,0,0,0,,
Rhythmic Pulse,4,Socks,,4,134,49,263,35,26,0,0,0,,
Rhythmic Pulse,4,Socks,,5,160,58,314,42,31,0,0,0,,
Twilight Daydream,4,Socks,,0,58,4,15,0,15,0,0,0,,
Twilight Daydream,4,Socks,,1,73,143,19,22,19,0,0,0,,
Twilight Daydream,4,Socks,,2,90,0,24,27,24,0,0,0,,
Twilight Daydream,4,Socks,,3,0,217,29,33,29,0,0,0,,
Twilight Daydream,4,Socks,,4,134,263,35,40,35,0,0,0,,
Twilight Daydream,4,Socks,,5,160,314,42,47,42,0,0,0,,
Breezy Cotton,4,Socks,,0,18,136,72,23,20,0,0,0,,
Breezy Cotton,4,Socks,,1,23,170,90,29,25,0,0,0,,
Breezy Cotton,4,Socks,,2,28,211,0,36,31,0,0,0,,
Breezy Cotton,4,Socks,,3,35,259,137,44,38,0,0,0,,
Breezy Cotton,4,Socks,,4,42,313,166,53,46,0,0,0,,
Breezy Cotton,4,Socks,,5,50,374,198,64,55,0,0,0,,
Blooming Path,4,Socks,,0,70,14,139,23,24,0,0,0,,
Blooming Path,4,Socks,,1,88,18,174,29,30,0,0,0,,
Blooming Path,4,Socks,,2,109,22,216,36,38,0,0,0,,
Blooming Path,4,Socks,,3,133,27,265,44,46,0,0,0,,
Blooming Path,4,Socks,,4,161,33,320,53,56,0,0,0,,
Blooming Path,4,Socks,,5,193,39,383,64,66,0,0,0,,
New Colors,4,Socks,,0,23,138,67,23,19,0,0,0,,
New Colors,4,Socks,,1,29,173,84,29,24,0,0,0,,
New Colors,4,Socks,,2,36,214,104,36,30,0,0,0,,
New Colors,4,Socks,,3,44,263,128,44,37,0,0,0,,
New Colors,4,Socks,,4,53,318,155,53,44,0,0,0,,
New Colors,4,Socks,,5,64,380,185,64,53,0,0,0,,
Shallow Reflections,4,Socks,,0,19,70,19,18,144,0,0,0,,
Shallow Reflections,4,Socks,,1,24,88,24,23,180,0,0,0,,
Shallow Reflections,4,Socks,,2,30,109,30,28,224,0,0,0,,
